CoC Number,CoC Name,CoC Category,"Total Homeless, 2019","Sheltered Homeless, 2019","Unsheltered Homeless, 2019","Homeless Individuals, 2019","Sheltered Homeless Individuals, 2019","Unsheltered Homeless Individuals, 2019","Homeless People in Families, 2019","Sheltered Homeless People in Families, 2019","Unsheltered Homeless People in Families, 2019","Chronically Homeless, 2019","Sheltered Chronically Homeless, 2019","Unsheltered Chronically Homeless, 2019","Chronically Homeless Individuals, 2019","Sheltered Chronically Homeless Individuals, 2019","Unsheltered Chronically Homeless Individuals, 2019","Chronically Homeless People in Families, 2019","Sheltered Chronically Homeless People in Families, 2019","Unsheltered Chronically Homeless People in Families, 2019","Homeless Veterans, 2019","Sheltered Homeless Veterans, 2019","Unsheltered Homeless Veterans, 2019","Homeless Unaccompanied Youth (Under 25), 2019","Sheltered Homeless Unaccompanied Youth (Under 25), 2019","Unsheltered Homeless Unaccompanied Youth (Under 25), 2019","Homeless Unaccompanied Youth (Under 18), 2019","Sheltered Homeless Unaccompanied Youth (Under 18), 2019","Unsheltered Homeless Unaccompanied Youth (Under 18), 2019","Homeless Unaccompanied Youth (Age 18-24), 2019","Sheltered Homeless Unaccompanied Youth (Age 18-24), 2019","Unsheltered Homeless Unaccompanied Youth (Age 18-24), 2019","Parenting Youth (Under 25), 2019","Sheltered Parenting Youth (Under 25), 2019","Unsheltered Parenting Youth (Under 25), 2019","Parenting Youth Under 18, 2019","Homeless Parenting Youth Under 18, 2019","Unsheltered Homeless Parenting Youth Under 18, 2019","Parenting Youth Age 18-24, 2019","Sheltered Parenting Youth Age 18-24, 2019","Unsheltered Parenting Youth Age 18-24, 2019","Children of Parenting Youth, 2019","Sheltered Children of Parenting Youth, 2019","Unsheltered Children of Parenting Youth, 2019"
FL-517,"Hendry, Hardee, Highlands Counties CoC",Largely Rural CoC,398,48,350,242,0,242,156,48,108,235,2,233,179,0,179,56,2,54,1,0,1,61,0,61,33,0,33,28,0,28,4,0,4,0,0,0,4,0,4,4,0,4
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",Largely Rural CoC,538,113,425,454,58,396,84,55,29,41,0,41,41,0,41,0,0,0,29,20,9,53,11,42,7,7,0,46,4,42,6,3,3,0,0,0,6,3,3,8,3,5
FL-519,Pasco County CoC,Largely Suburban CoC,894,206,688,685,74,611,209,132,77,265,63,202,186,15,171,79,48,31,92,40,52,80,20,60,22,20,2,58,0,58,0,0,0,0,0,0,0,0,0,0,0,0
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",Largely Suburban CoC,677,346,331,499,184,315,178,162,16,68,2,66,68,2,66,0,0,0,57,34,23,41,22,19,2,1,1,39,21,18,16,16,0,0,0,0,16,16,0,25,25,0
FL-600,Miami-Dade County CoC,Major City CoC,"3,472","2,464","1,008","2,312","1,304","1,008","1,160","1,160",0,378,252,126,321,195,126,57,57,0,169,145,24,134,108,26,1,1,0,133,107,26,87,87,0,0,0,0,87,87,0,152,152,0
FL-601,Ft Lauderdale/Broward County CoC,Largely Suburban CoC,"2,803","1,453","1,350","2,341","1,019","1,322",462,434,28,914,236,678,856,201,655,58,35,23,219,93,126,108,79,29,7,6,1,101,73,28,16,16,0,0,0,0,16,16,0,22,22,0
FL-602,Punta Gorda/Charlotte County CoC,Largely Suburban CoC,156,89,67,131,64,67,25,25,0,48,16,32,48,16,32,0,0,0,43,35,8,4,3,1,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
FL-603,"Ft Myers, Cape Coral/Lee County CoC",Largely Suburban CoC,372,210,162,257,129,128,115,81,34,99,20,79,86,18,68,13,2,11,25,11,14,22,15,7,11,11,0,11,4,7,1,1,0,0,0,0,1,1,0,2,2,0
FL-604,Monroe County CoC,Largely Rural CoC,501,292,209,469,267,202,32,25,7,36,7,29,36,7,29,0,0,0,50,29,21,35,26,9,20,19,1,15,7,8,0,0,0,0,0,0,0,0,0,0,0,0
FL-605,West Palm Beach/Palm Beach County CoC,Largely Suburban CoC,"1,397",457,940,"1,133",210,923,264,247,17,215,17,198,215,17,198,0,0,0,119,37,82,92,66,26,6,6,0,86,60,26,9,7,2,0,0,0,9,7,2,20,17,3
FL-606,Naples/Collier County CoC,Largely Suburban CoC,498,399,99,330,254,76,168,145,23,61,22,39,39,10,29,22,12,10,5,2,3,20,17,3,6,6,0,14,11,3,0,0,0,0,0,0,0,0,0,0,0,0
GA-500,Atlanta CoC,Major City CoC,"3,217","2,498",719,"2,718","2,001",717,499,497,2,376,183,193,364,171,193,12,12,0,349,272,77,170,151,19,0,0,0,170,151,19,8,8,0,0,0,0,8,8,0,11,11,0
GA-501,Georgia Balance of State CoC,Largely Rural CoC,"4,183","1,921","2,262","2,960",799,"2,161","1,223","1,122",101,296,107,189,284,99,185,12,8,4,265,58,207,227,69,158,51,3,48,176,66,110,68,65,3,0,0,0,68,65,3,77,74,3
GA-502,Fulton County CoC,Largely Suburban CoC,632,556,76,400,330,70,232,226,6,77,51,26,68,42,26,9,9,0,46,43,3,63,54,9,24,24,0,39,30,9,2,2,0,0,0,0,2,2,0,2,2,0
GA-503,Athens-Clarke County CoC,Other Largely Urban CoC,237,182,55,161,106,55,76,76,0,38,9,29,36,7,29,2,2,0,12,6,6,7,7,0,0,0,0,7,7,0,2,2,0,0,0,0,2,2,0,4,4,0
GA-504,Augusta-Richmond County CoC,Other Largely Urban CoC,384,223,161,312,167,145,72,56,16,42,23,19,33,23,10,9,0,9,31,25,6,17,8,9,2,0,2,15,8,7,1,1,0,0,0,0,1,1,0,1,1,0
GA-505,Columbus-Muscogee CoC,Other Largely Urban CoC,278,226,52,217,165,52,61,61,0,20,6,14,20,6,14,0,0,0,14,11,3,16,14,2,0,0,0,16,14,2,1,1,0,0,0,0,1,1,0,4,4,0
GA-506,Marietta/Cobb County CoC,Largely Suburban CoC,451,324,127,306,190,116,145,134,11,63,14,49,58,11,47,5,3,2,34,16,18,12,8,4,0,0,0,12,8,4,3,2,1,0,0,0,3,2,1,2,1,1
GA-507,Savannah/Chatham County CoC,Other Largely Urban CoC,686,455,231,578,347,231,108,108,0,182,66,116,182,66,116,0,0,0,33,15,18,72,45,27,5,5,0,67,40,27,3,3,0,0,0,0,3,3,0,4,4,0
GA-508,DeKalb County CoC,Largely Suburban CoC,375,178,197,261,64,197,114,114,0,43,11,32,36,4,32,7,7,0,17,2,15,12,1,11,1,0,1,11,1,10,0,0,0,0,0,0,0,0,0,0,0,0
GU-500,Guam CoC,Largely Rural CoC,875,111,764,258,28,230,617,83,534,84,0,84,26,0,26,58,0,58,23,5,18,14,8,6,2,2,0,12,6,6,8,3,5,0,0,0,8,3,5,11,5,6
HI-500,Hawaii Balance of State CoC,Largely Rural CoC,"1,995",758,"1,237","1,324",251,"1,073",671,507,164,627,73,554,550,37,513,77,36,41,121,25,96,41,8,33,0,0,0,41,8,33,21,18,3,0,0,0,21,18,3,16,14,2
HI-501,Honolulu City and County CoC,Largely Suburban CoC,"4,417","2,014","2,403","3,096",983,"2,113","1,321","1,031",290,"1,140",231,909,"1,042",189,853,98,42,56,384,185,199,181,65,116,37,20,17,144,45,99,34,26,8,0,0,0,34,26,8,31,25,6
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",Other Largely Urban CoC,255,248,7,162,155,7,93,93,0,21,19,2,21,19,2,0,0,0,15,15,0,8,6,2,0,0,0,8,6,2,2,2,0,0,0,0,2,2,0,3,3,0
IA-501,Iowa Balance of State CoC,Largely Rural CoC,"1,379","1,290",89,854,772,82,525,518,7,215,199,16,185,169,16,30,30,0,77,72,5,85,78,7,15,11,4,70,67,3,28,28,0,0,0,0,28,28,0,36,36,0
IA-502,Des Moines/Polk County CoC,Other Largely Urban CoC,681,589,92,558,466,92,123,123,0,104,60,44,95,51,44,9,9,0,57,50,7,53,46,7,0,0,0,53,46,7,13,13,0,1,1,0,12,12,0,13,13,0
ID-500,Boise/Ada County CoC,Other Largely Urban CoC,713,652,61,568,507,61,145,145,0,227,193,34,186,152,34,41,41,0,121,112,9,41,33,8,6,6,0,35,27,8,6,6,0,0,0,0,6,6,0,8,8,0
ID-501,Idaho Balance of State CoC,Largely Rural CoC,"1,602",678,924,948,324,624,654,354,300,222,59,163,170,34,136,52,25,27,80,17,63,147,96,51,5,1,4,142,95,47,13,10,3,0,0,0,13,10,3,21,18,3
IL-500,McHenry County CoC,Largely Suburban CoC,159,158,1,93,92,1,66,66,0,16,15,1,16,15,1,0,0,0,27,27,0,13,13,0,1,1,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
IL-501,"Rockford/DeKalb, Winnebago, Boone Counties CoC",Largely Suburban CoC,403,358,45,257,212,45,146,146,0,28,18,10,28,18,10,0,0,0,23,20,3,26,19,7,0,0,0,26,19,7,14,14,0,1,1,0,13,13,0,16,16,0
IL-502,"Waukegan, North Chicago/Lake County CoC",Largely Suburban CoC,252,220,32,157,125,32,95,95,0,28,21,7,25,18,7,3,3,0,1,1,0,15,12,3,0,0,0,15,12,3,3,3,0,0,0,0,3,3,0,5,5,0
IL-503,"Champaign, Urbana, Rantoul/Champaign County CoC",Other Largely Urban CoC,151,149,2,81,79,2,70,70,0,10,8,2,10,8,2,0,0,0,3,3,0,5,5,0,2,2,0,3,3,0,5,5,0,0,0,0,5,5,0,9,9,0
IL-504,Madison County CoC,Largely Suburban CoC,101,69,32,57,37,20,44,32,12,16,2,14,4,2,2,12,0,12,3,0,3,6,3,3,0,0,0,6,3,3,4,4,0,1,1,0,3,3,0,6,6,0
IL-506,"Joliet, Bolingbrook/Will County CoC",Largely Suburban CoC,278,235,43,187,144,43,91,91,0,18,10,8,18,10,8,0,0,0,18,18,0,13,11,2,0,0,0,13,11,2,1,1,0,0,0,0,1,1,0,1,1,0
IL-507,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",Largely Suburban CoC,285,270,15,205,194,11,80,76,4,48,45,3,45,42,3,3,3,0,29,28,1,14,12,2,0,0,0,14,12,2,2,2,0,0,0,0,2,2,0,2,2,0
IL-508,"East St. Louis, Belleville/St. Clair County CoC",Largely Suburban CoC,247,153,94,107,55,52,140,98,42,31,0,31,31,0,31,0,0,0,27,20,7,5,3,2,0,0,0,5,3,2,12,9,3,1,1,0,11,8,3,13,9,4
IL-510,Chicago CoC,Major City CoC,"5,290","4,030","1,260","3,318","2,064","1,254","1,972","1,966",6,"1,189",882,307,914,607,307,275,275,0,399,279,120,289,256,33,12,11,1,277,245,32,128,128,0,0,0,0,128,128,0,197,197,0
IL-511,Cook County CoC,Largely Suburban CoC,897,792,105,573,468,105,324,324,0,142,121,21,133,112,21,9,9,0,43,38,5,57,53,4,1,1,0,56,52,4,24,24,0,0,0,0,24,24,0,36,36,0
IL-512,Bloomington/Central Illinois CoC,Largely Rural CoC,319,258,61,223,168,55,96,90,6,49,35,14,44,30,14,5,5,0,18,15,3,33,28,5,0,0,0,33,28,5,10,10,0,0,0,0,10,10,0,12,12,0
IL-513,Springfield/Sangamon County CoC,Other Largely Urban CoC,284,259,25,204,179,25,80,80,0,59,52,7,57,50,7,2,2,0,23,20,3,10,9,1,0,0,0,10,9,1,9,9,0,0,0,0,9,9,0,12,12,0
IL-514,DuPage County CoC,Largely Suburban CoC,309,299,10,187,177,10,122,122,0,31,30,1,31,30,1,0,0,0,8,7,1,40,40,0,0,0,0,40,40,0,14,14,0,0,0,0,14,14,0,17,17,0
IL-515,South Central Illinois CoC,Largely Rural CoC,94,59,35,59,32,27,35,27,8,3,2,1,3,2,1,0,0,0,4,3,1,6,5,1,0,0,0,6,5,1,2,1,1,0,0,0,2,1,1,3,1,2
IL-516,Decatur/Macon County CoC,Other Largely Urban CoC,169,158,11,119,108,11,50,50,0,25,18,7,25,18,7,0,0,0,6,6,0,12,11,1,0,0,0,12,11,1,2,2,0,0,0,0,2,2,0,3,3,0
IL-517,"Aurora, Elgin/Kane County CoC",Largely Suburban CoC,388,343,45,335,290,45,53,53,0,126,105,21,126,105,21,0,0,0,23,20,3,23,22,1,0,0,0,23,22,1,1,1,0,0,0,0,1,1,0,1,1,0
IL-518,"Rock Island, Moline/Northwestern Illinois CoC",Largely Rural CoC,211,195,16,137,127,10,74,68,6,2,2,0,2,2,0,0,0,0,14,14,0,21,19,2,0,0,0,21,19,2,6,4,2,1,1,0,5,3,2,7,5,2
IL-519,West Central Illinois CoC,Largely Rural CoC,68,66,2,36,34,2,32,32,0,3,2,1,3,2,1,0,0,0,4,3,1,7,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
IL-520,Southern Illinois CoC,Largely Rural CoC,294,239,55,178,134,44,116,105,11,18,1,17,18,1,17,0,0,0,17,14,3,14,12,2,0,0,0,14,12,2,8,8,0,0,0,0,8,8,0,11,11,0
IN-502,Indiana Balance of State CoC,Largely Rural CoC,"3,904","3,367",537,"2,628","2,115",513,"1,276","1,252",24,241,241,0,214,214,0,27,27,0,303,268,35,195,157,38,13,13,0,182,144,38,43,40,3,0,0,0,43,40,3,60,57,3
IN-503,Indianapolis CoC,Major City CoC,"1,567","1,462",105,"1,155","1,055",100,412,407,5,125,73,52,100,50,50,25,23,2,269,261,8,63,52,11,2,2,0,61,50,11,15,15,0,0,0,0,15,15,0,25,25,0
KS-502,Wichita/Sedgwick County CoC,Other Largely Urban CoC,593,536,57,426,369,57,167,167,0,20,7,13,20,7,13,0,0,0,57,52,5,18,17,1,4,4,0,14,13,1,7,7,0,0,0,0,7,7,0,11,11,0
KS-503,Topeka/Shawnee County CoC,Other Largely Urban CoC,441,373,68,329,264,65,112,109,3,192,143,49,158,109,49,34,34,0,55,47,8,20,17,3,0,0,0,20,17,3,3,3,0,0,0,0,3,3,0,3,3,0
KS-505,"Overland Park, Shawnee/Johnson County CoC",Largely Suburban CoC,189,150,39,109,70,39,80,80,0,32,9,23,29,6,23,3,3,0,7,5,2,10,10,0,0,0,0,10,10,0,1,1,0,0,0,0,1,1,0,2,2,0
KS-507,Kansas Balance of State CoC,Largely Rural CoC,"1,056",822,234,787,558,229,269,264,5,100,42,58,84,31,53,16,11,5,66,49,17,68,56,12,0,0,0,68,56,12,6,6,0,0,0,0,6,6,0,8,8,0
KY-500,Kentucky Balance of State CoC,Largely Rural CoC,"2,221","1,571",650,"1,588",996,592,633,575,58,202,148,54,182,128,54,20,20,0,144,124,20,122,78,44,6,6,0,116,72,44,22,20,2,0,0,0,22,20,2,27,24,3
KY-501,Louisville-Jefferson County CoC,Major City CoC,"1,071",953,118,809,691,118,262,262,0,220,196,24,194,170,24,26,26,0,225,210,15,58,51,7,6,6,0,52,45,7,17,17,0,0,0,0,17,17,0,27,27,0
KY-502,Lexington-Fayette County CoC,Other Largely Urban CoC,787,776,11,676,665,11,111,111,0,112,110,2,103,101,2,9,9,0,78,78,0,31,27,4,0,0,0,31,27,4,2,2,0,0,0,0,2,2,0,7,7,0
LA-500,Lafayette/Acadiana CoC,Largely Rural CoC,360,205,155,279,129,150,81,76,5,75,19,56,75,19,56,0,0,0,24,17,7,13,5,8,0,0,0,13,5,8,5,5,0,0,0,0,5,5,0,7,7,0
LA-502,"Shreveport, Bossier/Northwest Louisiana CoC",Other Largely Urban CoC,292,232,60,218,158,60,74,74,0,43,14,29,41,12,29,2,2,0,84,79,5,7,6,1,1,1,0,6,5,1,4,4,0,0,0,0,4,4,0,5,5,0
LA-503,New Orleans/Jefferson Parish CoC,Major City CoC,"1,179",749,430,"1,049",619,430,130,130,0,146,85,61,146,85,61,0,0,0,121,111,10,78,64,14,5,5,0,73,59,14,11,11,0,0,0,0,11,11,0,16,16,0
LA-505,Monroe/Northeast Louisiana CoC,Largely Rural CoC,188,171,17,87,70,17,101,101,0,20,8,12,20,8,12,0,0,0,4,3,1,10,9,1,1,1,0,9,8,1,4,4,0,0,0,0,4,4,0,4,4,0
LA-506,Slidell/Southeast Louisiana CoC,Largely Suburban CoC,215,139,76,193,131,62,22,8,14,18,4,14,18,4,14,0,0,0,30,29,1,4,2,2,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
LA-507,Alexandria/Central Louisiana CoC,Largely Rural CoC,114,95,19,87,68,19,27,27,0,21,10,11,21,10,11,0,0,0,9,9,0,4,3,1,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
LA-509,Louisiana Balance of State CoC,Largely Suburban CoC,593,376,217,503,286,217,90,90,0,123,49,74,110,36,74,13,13,0,88,69,19,72,58,14,30,30,0,42,28,14,1,1,0,0,0,0,1,1,0,2,2,0
MA-500,Boston CoC,Major City CoC,"6,242","6,121",121,"2,392","2,271",121,"3,850","3,850",0,825,808,17,508,491,17,317,317,0,290,286,4,168,162,6,11,11,0,157,151,6,160,160,0,1,1,0,159,159,0,160,160,0
MA-502,Lynn CoC,Largely Suburban CoC,"1,035","1,030",5,78,73,5,957,957,0,78,74,4,43,39,4,35,35,0,2,1,1,20,20,0,0,0,0,20,20,0,16,16,0,0,0,0,16,16,0,12,12,0
MA-503,Cape Cod Islands CoC,Largely Suburban CoC,371,333,38,176,138,38,195,195,0,62,48,14,60,46,14,2,2,0,19,15,4,8,6,2,0,0,0,8,6,2,11,11,0,0,0,0,11,11,0,11,11,0
MA-504,Springfield/Hampden County CoC,Largely Suburban CoC,"2,443","2,401",42,373,331,42,"2,070","2,070",0,200,175,25,69,44,25,131,131,0,25,22,3,25,23,2,2,2,0,23,21,2,73,73,0,0,0,0,73,73,0,124,124,0
MA-505,New Bedford CoC,Largely Suburban CoC,433,380,53,229,178,51,204,202,2,47,22,25,44,19,25,3,3,0,43,41,2,12,10,2,0,0,0,12,10,2,4,4,0,0,0,0,4,4,0,3,3,0
MA-506,Worcester City & County CoC,Largely Suburban CoC,"1,593","1,424",169,662,500,162,931,924,7,84,54,30,63,33,30,21,21,0,155,144,11,83,60,23,3,1,2,80,59,21,48,47,1,0,0,0,48,47,1,59,58,1
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",Largely Suburban CoC,546,512,34,362,328,34,184,184,0,74,59,15,48,33,15,26,26,0,172,171,1,23,22,1,7,7,0,16,15,1,2,2,0,1,1,0,1,1,0,1,1,0
MA-508,Lowell CoC,Largely Suburban CoC,784,768,16,221,205,16,563,563,0,138,132,6,26,20,6,112,112,0,45,42,3,9,8,1,0,0,0,9,8,1,23,23,0,0,0,0,23,23,0,31,31,0
MA-509,Cambridge CoC,Other Largely Urban CoC,555,497,58,384,326,58,171,171,0,216,179,37,209,172,37,7,7,0,19,17,2,47,34,13,0,0,0,47,34,13,18,18,0,0,0,0,18,18,0,20,20,0
MA-510,"Gloucester, Haverhill, Salem/Essex County CoC",Largely Suburban CoC,760,709,51,261,210,51,499,499,0,125,91,34,68,34,34,57,57,0,29,27,2,11,6,5,0,0,0,11,6,5,28,28,0,0,0,0,28,28,0,30,30,0
MA-511,"Quincy, Brockton, Weymouth, Plymouth City and County CoC",Largely Suburban CoC,"1,088","1,075",13,383,370,13,705,705,0,212,208,4,132,128,4,80,80,0,49,49,0,15,15,0,0,0,0,15,15,0,43,43,0,0,0,0,43,43,0,53,53,0
MA-515,Fall River CoC,Largely Suburban CoC,320,316,4,66,62,4,254,254,0,55,53,2,36,34,2,19,19,0,0,0,0,2,1,1,0,0,0,2,1,1,2,2,0,0,0,0,2,2,0,3,3,0
MA-516,Massachusetts Balance of State CoC,Largely Suburban CoC,"1,918","1,737",181,505,324,181,"1,413","1,413",0,212,194,18,49,31,18,163,163,0,42,42,0,44,31,13,1,1,0,43,30,13,48,48,0,2,2,0,46,46,0,61,61,0
MA-517,Somerville CoC,Largely Suburban CoC,127,117,10,95,85,10,32,32,0,28,23,5,23,18,5,5,5,0,24,24,0,11,10,1,0,0,0,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0
MA-519,"Attleboro, Taunton/Bristol County CoC",Largely Suburban CoC,256,222,34,72,38,34,184,184,0,14,5,9,14,5,9,0,0,0,3,3,0,2,1,1,0,0,0,2,1,1,4,4,0,0,0,0,4,4,0,5,5,0
MD-500,Cumberland/Allegany County CoC,Largely Suburban CoC,145,108,37,95,58,37,50,50,0,18,10,8,13,5,8,5,5,0,3,2,1,9,4,5,0,0,0,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0
MD-501,Baltimore CoC,Major City CoC,"2,294","1,914",380,"1,944","1,573",371,350,341,9,619,355,264,579,321,258,40,34,6,258,235,23,110,51,59,8,5,3,102,46,56,26,26,0,0,0,0,26,26,0,30,30,0
MD-502,Harford County CoC,Largely Suburban CoC,228,205,23,96,73,23,132,132,0,19,11,8,19,11,8,0,0,0,4,4,0,8,8,0,0,0,0,8,8,0,5,5,0,0,0,0,5,5,0,10,10,0
MD-503,Annapolis/Anne Arundel County CoC,Largely Suburban CoC,302,241,61,225,166,59,77,75,2,71,38,33,71,38,33,0,0,0,19,15,4,15,10,5,0,0,0,15,10,5,4,4,0,0,0,0,4,4,0,7,7,0
MD-504,Howard County CoC,Largely Suburban CoC,201,129,72,98,55,43,103,74,29,36,15,21,31,15,16,5,0,5,9,4,5,5,4,1,0,0,0,5,4,1,1,1,0,0,0,0,1,1,0,1,1,0
MD-505,Baltimore County CoC,Largely Suburban CoC,735,486,249,438,232,206,297,254,43,183,85,98,141,49,92,42,36,6,22,10,12,19,9,10,0,0,0,19,9,10,8,6,2,0,0,0,8,6,2,10,9,1
MD-506,Carroll County CoC,Largely Suburban CoC,144,121,23,105,88,17,39,33,6,44,36,8,41,36,5,3,0,3,6,4,2,13,13,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
MD-507,Cecil County CoC,Largely Suburban CoC,126,104,22,77,59,18,49,45,4,18,6,12,14,6,8,4,0,4,34,32,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MD-508,"Charles, Calvert, St.Mary's Counties CoC",Largely Suburban CoC,306,192,114,228,132,96,78,60,18,79,31,48,67,25,42,12,6,6,13,4,9,16,12,4,0,0,0,16,12,4,5,4,1,0,0,0,5,4,1,7,6,1
MD-509,Frederick City & County CoC,Largely Suburban CoC,286,208,78,212,134,78,74,74,0,39,23,16,37,21,16,2,2,0,4,2,2,19,11,8,0,0,0,19,11,8,1,1,0,0,0,0,1,1,0,1,1,0
MD-510,Garrett County CoC,Largely Rural CoC,12,11,1,12,11,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD-511,Mid-Shore Regional CoC,Largely Rural CoC,164,146,18,81,63,18,83,83,0,23,20,3,16,13,3,7,7,0,7,5,2,9,9,0,0,0,0,9,9,0,5,5,0,0,0,0,5,5,0,5,5,0
MD-512,Hagerstown/Washington County CoC,Largely Suburban CoC,249,164,85,202,139,63,47,25,22,40,22,18,38,22,16,2,0,2,55,50,5,14,8,6,0,0,0,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0
MD-513,"Wicomico, Somerset, Worcester Counties CoC",Largely Rural CoC,275,238,37,198,161,37,77,77,0,48,41,7,41,34,7,7,7,0,15,11,4,7,4,3,0,0,0,7,4,3,6,6,0,0,0,0,6,6,0,8,8,0
MD-600,Prince George's County CoC,Largely Suburban CoC,447,374,73,200,127,73,247,247,0,46,14,32,44,12,32,2,2,0,28,22,6,23,18,5,1,1,0,22,17,5,13,13,0,0,0,0,13,13,0,17,17,0
MD-601,Montgomery County CoC,Largely Suburban CoC,647,572,75,441,366,75,206,206,0,11,9,2,11,9,2,0,0,0,13,11,2,22,17,5,0,0,0,22,17,5,4,4,0,0,0,0,4,4,0,4,4,0
ME-500,Maine Statewide CoC,Largely Rural CoC,"2,106","2,011",95,"1,232","1,140",92,874,871,3,226,193,33,211,178,33,15,15,0,116,108,8,125,112,13,13,13,0,112,99,13,16,16,0,0,0,0,16,16,0,19,19,0
MI-500,Michigan Balance of State CoC,Largely Rural CoC,"1,245","1,111",134,624,518,106,621,593,28,79,60,19,57,38,19,22,22,0,51,47,4,82,76,6,4,4,0,78,72,6,18,18,0,0,0,0,18,18,0,23,23,0
MI-501,Detroit CoC,Major City CoC,"1,965","1,879",86,"1,400","1,314",86,565,565,0,279,246,33,263,230,33,16,16,0,290,281,9,102,99,3,1,1,0,101,98,3,50,50,0,0,0,0,50,50,0,76,76,0
MI-502,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",Largely Suburban CoC,222,205,17,90,73,17,132,132,0,21,17,4,12,8,4,9,9,0,23,23,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
MI-503,"St. Clair Shores, Warren/Macomb County CoC",Largely Suburban CoC,265,245,20,193,175,18,72,70,2,12,10,2,12,10,2,0,0,0,12,12,0,10,10,0,5,5,0,5,5,0,4,4,0,0,0,0,4,4,0,4,4,0
MI-504,"Pontiac, Royal Oak/Oakland County CoC",Largely Suburban CoC,425,382,43,247,219,28,178,163,15,47,42,5,41,36,5,6,6,0,11,11,0,39,39,0,7,7,0,32,32,0,23,21,2,0,0,0,23,21,2,36,35,1
MI-505,Flint/Genesee County CoC,Largely Suburban CoC,450,402,48,288,240,48,162,162,0,51,41,10,49,39,10,2,2,0,16,13,3,19,18,1,2,2,0,17,16,1,35,35,0,0,0,0,35,35,0,99,99,0
MI-506,"Grand Rapids, Wyoming/Kent County CoC",Other Largely Urban CoC,759,743,16,435,419,16,324,324,0,121,118,3,113,110,3,8,8,0,48,47,1,42,41,1,8,8,0,34,33,1,12,12,0,0,0,0,12,12,0,20,20,0
MI-507,"Portage, Kalamazoo City & County CoC",Other Largely Urban CoC,702,529,173,440,284,156,262,245,17,89,48,41,76,35,41,13,13,0,17,14,3,42,41,1,5,5,0,37,36,1,11,11,0,0,0,0,11,11,0,16,16,0
MI-508,"Lansing, East Lansing/Ingham County CoC",Other Largely Urban CoC,476,466,10,303,293,10,173,173,0,40,37,3,40,37,3,0,0,0,26,25,1,28,28,0,4,4,0,24,24,0,13,13,0,0,0,0,13,13,0,17,17,0
MI-509,Washtenaw County CoC,Largely Suburban CoC,273,261,12,193,181,12,80,80,0,58,51,7,58,51,7,0,0,0,19,19,0,29,27,2,2,2,0,27,25,2,4,4,0,0,0,0,4,4,0,6,6,0
