CoC Number,CoC Name,CoC Category,"Total Homeless, 2019","Sheltered Homeless, 2019","Unsheltered Homeless, 2019","Homeless Individuals, 2019","Sheltered Homeless Individuals, 2019","Unsheltered Homeless Individuals, 2019","Homeless People in Families, 2019","Sheltered Homeless People in Families, 2019","Unsheltered Homeless People in Families, 2019","Chronically Homeless, 2019","Sheltered Chronically Homeless, 2019","Unsheltered Chronically Homeless, 2019","Chronically Homeless Individuals, 2019","Sheltered Chronically Homeless Individuals, 2019","Unsheltered Chronically Homeless Individuals, 2019","Chronically Homeless People in Families, 2019","Sheltered Chronically Homeless People in Families, 2019","Unsheltered Chronically Homeless People in Families, 2019","Homeless Veterans, 2019","Sheltered Homeless Veterans, 2019","Unsheltered Homeless Veterans, 2019","Homeless Unaccompanied Youth (Under 25), 2019","Sheltered Homeless Unaccompanied Youth (Under 25), 2019","Unsheltered Homeless Unaccompanied Youth (Under 25), 2019","Homeless Unaccompanied Youth (Under 18), 2019","Sheltered Homeless Unaccompanied Youth (Under 18), 2019","Unsheltered Homeless Unaccompanied Youth (Under 18), 2019","Homeless Unaccompanied Youth (Age 18-24), 2019","Sheltered Homeless Unaccompanied Youth (Age 18-24), 2019","Unsheltered Homeless Unaccompanied Youth (Age 18-24), 2019","Parenting Youth (Under 25), 2019","Sheltered Parenting Youth (Under 25), 2019","Unsheltered Parenting Youth (Under 25), 2019","Parenting Youth Under 18, 2019","Homeless Parenting Youth Under 18, 2019","Unsheltered Homeless Parenting Youth Under 18, 2019","Parenting Youth Age 18-24, 2019","Sheltered Parenting Youth Age 18-24, 2019","Unsheltered Parenting Youth Age 18-24, 2019","Children of Parenting Youth, 2019","Sheltered Children of Parenting Youth, 2019","Unsheltered Children of Parenting Youth, 2019"
OH-503,Columbus/Franklin County CoC,Major City CoC,"1,907","1,525",382,"1,350",982,368,557,543,14,97,24,73,97,24,73,0,0,0,92,76,16,158,91,67,9,8,1,149,83,66,34,34,0,0,0,0,34,34,0,48,48,0
OH-504,Youngstown/Mahoning County CoC,Other Largely Urban CoC,148,139,9,116,107,9,32,32,0,18,12,6,14,8,6,4,4,0,8,7,1,12,12,0,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
OH-505,"Dayton, Kettering/Montgomery County CoC",Largely Suburban CoC,681,632,49,545,496,49,136,136,0,28,26,2,28,26,2,0,0,0,51,50,1,82,82,0,3,3,0,79,79,0,9,9,0,0,0,0,9,9,0,12,12,0
OH-506,"Akron, Barberton/Summit County CoC",Largely Suburban CoC,546,459,87,425,338,87,121,121,0,54,16,38,54,16,38,0,0,0,54,47,7,31,31,0,11,11,0,20,20,0,3,3,0,0,0,0,3,3,0,6,6,0
OH-507,Ohio Balance of State CoC,Largely Rural CoC,"3,479","2,665",814,"2,102","1,392",710,"1,377","1,273",104,330,129,201,281,103,178,49,26,23,159,126,33,163,116,47,2,0,2,161,116,45,65,62,3,0,0,0,65,62,3,95,93,2
OH-508,"Canton, Massillon, Alliance/Stark County CoC",Largely Suburban CoC,273,256,17,121,104,17,152,152,0,4,3,1,4,3,1,0,0,0,20,16,4,2,0,2,0,0,0,2,0,2,9,9,0,0,0,0,9,9,0,12,12,0
OK-500,North Central Oklahoma CoC,Largely Rural CoC,178,171,7,125,118,7,53,53,0,3,0,3,3,0,3,0,0,0,11,10,1,43,43,0,12,12,0,31,31,0,4,4,0,0,0,0,4,4,0,4,4,0
OK-501,Tulsa City & County CoC,Major City CoC,"1,188",892,296,939,675,264,249,217,32,236,120,116,225,120,105,11,0,11,94,72,22,102,56,46,2,2,0,100,54,46,26,20,6,0,0,0,26,20,6,31,20,11
OK-502,Oklahoma City CoC,Major City CoC,"1,273",889,384,"1,065",692,373,208,197,11,275,78,197,255,69,186,20,9,11,129,97,32,85,72,13,0,0,0,85,72,13,4,4,0,0,0,0,4,4,0,7,7,0
OK-503,Oklahoma Balance of State CoC,Largely Rural CoC,279,113,166,225,84,141,54,29,25,80,23,57,73,23,50,7,0,7,0,0,0,26,9,17,4,1,3,22,8,14,0,0,0,0,0,0,0,0,0,0,0,0
OK-504,Norman/Cleveland County CoC,Largely Suburban CoC,347,132,215,299,84,215,48,48,0,290,75,215,276,61,215,14,14,0,14,3,11,9,7,2,0,0,0,9,7,2,1,1,0,0,0,0,1,1,0,1,1,0
OK-505,Northeast Oklahoma CoC,Largely Rural CoC,228,157,71,123,69,54,105,88,17,28,6,22,21,3,18,7,3,4,8,4,4,26,23,3,17,16,1,9,7,2,2,1,1,0,0,0,2,1,1,2,1,1
OK-506,Southwest Oklahoma Regional CoC,Largely Rural CoC,158,136,22,90,71,19,68,65,3,9,9,0,9,9,0,0,0,0,9,4,5,4,2,2,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
OK-507,Southeastern Oklahoma Regional CoC,Largely Rural CoC,293,217,76,197,164,33,96,53,43,33,25,8,20,17,3,13,8,5,15,13,2,27,22,5,14,12,2,13,10,3,7,3,4,0,0,0,7,3,4,8,3,5
OR-500,"Eugene, Springfield/Lane County CoC",Other Largely Urban CoC,"2,165",532,"1,633","1,908",374,"1,534",257,158,99,841,150,691,783,125,658,58,25,33,197,52,145,145,37,108,26,12,14,119,25,94,6,5,1,0,0,0,6,5,1,7,4,3
OR-501,"Portland, Gresham/Multnomah County CoC",Major City CoC,"4,015","1,978","2,037","3,698","1,673","2,025",317,305,12,"1,781",427,"1,354","1,763",409,"1,354",18,18,0,473,243,230,268,137,131,9,9,0,259,128,131,11,9,2,0,0,0,11,9,2,14,12,2
OR-502,"Medford, Ashland/Jackson County CoC",Largely Suburban CoC,712,348,364,602,263,339,110,85,25,196,21,175,180,19,161,16,2,14,107,72,35,49,21,28,9,7,2,40,14,26,12,12,0,1,1,0,11,11,0,13,13,0
OR-503,Central Oregon CoC,Largely Rural CoC,880,266,614,637,212,425,243,54,189,160,32,128,115,18,97,45,14,31,62,13,49,72,33,39,20,9,11,52,24,28,4,4,0,0,0,0,4,4,0,5,5,0
OR-505,Oregon Balance of State CoC,Largely Rural CoC,"7,103","2,064","5,039","4,728","1,300","3,428","2,375",764,"1,611","1,603",310,"1,293","1,471",283,"1,188",132,27,105,458,142,316,"1,002",177,825,585,43,542,417,134,283,56,12,44,2,0,2,54,12,42,54,11,43
OR-506,"Hillsboro, Beaverton/Washington County CoC",Largely Suburban CoC,530,298,232,396,194,202,134,104,30,139,44,95,122,38,84,17,6,11,84,61,23,30,19,11,8,4,4,22,15,7,5,5,0,0,0,0,5,5,0,6,6,0
OR-507,Clackamas County CoC,Largely Suburban CoC,471,248,223,385,178,207,86,70,16,182,52,130,175,45,130,7,7,0,57,28,29,24,14,10,1,1,0,23,13,10,12,12,0,0,0,0,12,12,0,11,11,0
PA-500,Philadelphia CoC,Major City CoC,"5,735","4,762",973,"3,752","2,779",973,"1,983","1,983",0,"1,304",808,496,"1,264",768,496,40,40,0,250,228,22,301,221,80,15,9,6,286,212,74,138,138,0,0,0,0,138,138,0,209,209,0
PA-501,Harrisburg/Dauphin County CoC,Largely Suburban CoC,418,370,48,287,242,45,131,128,3,64,47,17,60,43,17,4,4,0,20,16,4,37,25,12,2,0,2,35,25,10,15,14,1,1,0,1,14,14,0,21,20,1
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",Largely Suburban CoC,400,352,48,223,175,48,177,177,0,21,13,8,21,13,8,0,0,0,1,1,0,10,6,4,0,0,0,10,6,4,9,9,0,0,0,0,9,9,0,12,12,0
PA-503,"Wilkes-Barre, Hazleton/Luzerne County CoC",Largely Suburban CoC,164,157,7,97,90,7,67,67,0,2,1,1,2,1,1,0,0,0,14,14,0,17,17,0,0,0,0,17,17,0,4,4,0,0,0,0,4,4,0,7,7,0
PA-504,"Lower Merion, Norristown, Abington/Montgomery County CoC",Largely Suburban CoC,246,227,19,115,96,19,131,131,0,31,28,3,27,24,3,4,4,0,9,6,3,5,5,0,0,0,0,5,5,0,5,5,0,0,0,0,5,5,0,5,5,0
PA-505,Chester County CoC,Largely Suburban CoC,528,508,20,386,374,12,142,134,8,19,18,1,19,18,1,0,0,0,198,198,0,10,9,1,0,0,0,10,9,1,2,2,0,0,0,0,2,2,0,3,3,0
PA-506,Reading/Berks County CoC,Largely Suburban CoC,597,587,10,455,445,10,142,142,0,38,28,10,35,25,10,3,3,0,13,13,0,35,35,0,3,3,0,32,32,0,4,4,0,0,0,0,4,4,0,5,5,0
PA-508,Scranton/Lackawanna County CoC,Largely Suburban CoC,186,177,9,142,133,9,44,44,0,12,8,4,12,8,4,0,0,0,30,30,0,17,17,0,0,0,0,17,17,0,10,10,0,0,0,0,10,10,0,13,13,0
PA-509,Eastern Pennsylvania CoC,Largely Rural CoC,"1,843","1,506",337,"1,083",758,325,760,748,12,142,83,59,127,68,59,15,15,0,71,68,3,146,108,38,7,7,0,139,101,38,44,44,0,0,0,0,44,44,0,59,59,0
PA-510,Lancaster City & County CoC,Largely Suburban CoC,422,410,12,246,234,12,176,176,0,16,7,9,12,3,9,4,4,0,21,20,1,26,25,1,0,0,0,26,25,1,8,8,0,0,0,0,8,8,0,14,14,0
PA-511,"Bristol, Bensalem/Bucks County CoC",Largely Suburban CoC,359,338,21,156,135,21,203,203,0,35,32,3,30,27,3,5,5,0,6,5,1,11,9,2,1,1,0,10,8,2,8,8,0,0,0,0,8,8,0,12,12,0
PA-512,York City & County CoC,Largely Suburban CoC,321,289,32,177,147,30,144,142,2,13,10,3,13,10,3,0,0,0,5,5,0,22,19,3,4,4,0,18,15,3,3,2,1,0,0,0,3,2,1,3,2,1
PA-600,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",Largely Suburban CoC,774,726,48,536,488,48,238,238,0,111,89,22,102,80,22,9,9,0,100,97,3,45,38,7,0,0,0,45,38,7,7,7,0,0,0,0,7,7,0,10,10,0
PA-601,Western Pennsylvania CoC,Largely Rural CoC,727,693,34,464,433,31,263,260,3,17,16,1,17,16,1,0,0,0,88,88,0,42,38,4,6,6,0,36,32,4,15,13,2,0,0,0,15,13,2,15,14,1
PA-603,Beaver County CoC,Largely Suburban CoC,123,117,6,52,46,6,71,71,0,0,0,0,0,0,0,0,0,0,6,6,0,2,2,0,0,0,0,2,2,0,1,1,0,0,0,0,1,1,0,1,1,0
PA-605,Erie City & County CoC,Largely Suburban CoC,356,350,6,255,249,6,101,101,0,38,36,2,34,32,2,4,4,0,25,25,0,11,11,0,0,0,0,11,11,0,11,11,0,0,0,0,11,11,0,18,18,0
PR-502,Puerto Rico Balance of Commonwealth CoC,Largely Suburban CoC,"1,345",437,908,"1,202",320,882,143,117,26,363,42,321,361,40,321,2,2,0,41,4,37,30,9,21,0,0,0,30,9,21,11,11,0,0,0,0,11,11,0,16,16,0
PR-503,South-Southeast Puerto Rico CoC,Largely Suburban CoC,"1,190",198,992,"1,139",191,948,51,7,44,323,71,252,311,71,240,12,0,12,49,14,35,19,4,15,0,0,0,19,4,15,1,0,1,0,0,0,1,0,1,2,0,2
RI-500,Rhode Island Statewide CoC,Largely Suburban CoC,"1,055",984,71,730,663,67,325,321,4,198,187,11,176,165,11,22,22,0,92,89,3,26,24,2,0,0,0,26,24,2,4,4,0,0,0,0,4,4,0,3,3,0
SC-500,Charleston/Low Country CoC,Largely Suburban CoC,403,275,128,351,223,128,52,52,0,86,39,47,86,39,47,0,0,0,100,84,16,11,5,6,0,0,0,11,5,6,1,1,0,0,0,0,1,1,0,1,1,0
SC-501,"Greenville, Anderson, Spartanburg/Upstate CoC",Largely Suburban CoC,"1,401",895,506,"1,086",669,417,315,226,89,321,132,189,305,126,179,16,6,10,110,72,38,52,33,19,1,1,0,51,32,19,12,9,3,0,0,0,12,9,3,16,13,3
SC-502,Columbia/Midlands CoC,Largely Suburban CoC,"1,215",923,292,980,705,275,235,218,17,277,150,127,277,150,127,0,0,0,188,158,30,81,58,23,2,2,0,79,56,23,10,10,0,0,0,0,10,10,0,12,12,0
SC-503,"Myrtle Beach, Sumter City & County CoC",Largely Rural CoC,"1,153",362,791,901,278,623,252,84,168,258,31,227,229,26,203,29,5,24,64,29,35,72,45,27,5,4,1,67,41,26,9,4,5,0,0,0,9,4,5,10,4,6
SD-500,South Dakota Statewide CoC,Largely Rural CoC,995,761,234,725,504,221,270,257,13,100,58,42,81,39,42,19,19,0,66,55,11,66,52,14,2,2,0,64,50,14,8,8,0,0,0,0,8,8,0,13,13,0
TN-500,Chattanooga/Southeast Tennessee CoC,Largely Rural CoC,463,282,181,367,202,165,96,80,16,91,70,21,87,66,21,4,4,0,44,30,14,27,22,5,3,2,1,24,20,4,3,0,3,0,0,0,3,0,3,3,0,3
TN-501,Memphis/Shelby County CoC,Major City CoC,"1,325","1,267",58,761,703,58,564,564,0,74,59,15,74,59,15,0,0,0,172,162,10,26,25,1,3,3,0,23,22,1,10,10,0,1,1,0,9,9,0,12,12,0
TN-502,Knoxville/Knox County CoC,Largely Suburban CoC,800,605,195,726,531,195,74,74,0,176,101,75,149,74,75,27,27,0,76,68,8,64,34,30,6,3,3,58,31,27,2,2,0,0,0,0,2,2,0,1,1,0
TN-503,Central Tennessee CoC,Largely Rural CoC,357,310,47,266,219,47,91,91,0,75,51,24,49,25,24,26,26,0,50,46,4,18,15,3,0,0,0,18,15,3,2,2,0,0,0,0,2,2,0,2,2,0
TN-504,Nashville-Davidson County CoC,Major City CoC,"1,986","1,401",585,"1,802","1,219",583,184,182,2,466,226,240,458,218,240,8,8,0,249,177,72,78,52,26,5,5,0,73,47,26,3,3,0,0,0,0,3,3,0,4,4,0
TN-506,Upper Cumberland CoC,Largely Rural CoC,273,208,65,204,145,59,69,63,6,24,13,11,21,10,11,3,3,0,11,8,3,17,12,5,0,0,0,17,12,5,4,3,1,0,0,0,4,3,1,4,3,1
TN-507,Jackson/West Tennessee CoC,Largely Rural CoC,959,108,851,514,66,448,445,42,403,96,8,88,51,8,43,45,0,45,8,6,2,46,1,45,0,0,0,46,1,45,15,1,14,0,0,0,15,1,14,37,2,35
TN-509,Appalachian Regional CoC,Largely Rural CoC,405,256,149,294,156,138,111,100,11,51,16,35,51,16,35,0,0,0,40,28,12,12,11,1,0,0,0,12,11,1,5,3,2,0,0,0,5,3,2,6,4,2
TN-510,Murfreesboro/Rutherford County CoC,Largely Suburban CoC,384,222,162,327,173,154,57,49,8,41,13,28,41,13,28,0,0,0,21,10,11,17,6,11,1,0,1,16,6,10,3,0,3,0,0,0,3,0,3,3,0,3
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",Largely Rural CoC,515,210,305,376,105,271,139,105,34,39,12,27,39,12,27,0,0,0,8,4,4,61,7,54,31,2,29,30,5,25,3,2,1,0,0,0,3,2,1,2,1,1
TX-500,San Antonio/Bexar County CoC,Major City CoC,"2,872","1,685","1,187","2,066",887,"1,179",806,798,8,343,183,160,330,170,160,13,13,0,215,154,61,98,47,51,3,2,1,95,45,50,15,15,0,0,0,0,15,15,0,20,20,0
TX-503,Austin/Travis County CoC,Major City CoC,"2,255","1,169","1,086","1,701",628,"1,073",554,541,13,602,198,404,587,183,404,15,15,0,144,107,37,81,54,27,13,12,1,68,42,26,24,23,1,0,0,0,24,23,1,33,32,1
TX-600,"Dallas City & County, Irving CoC",Major City CoC,"4,538","3,086","1,452","3,513","2,071","1,442","1,025","1,015",10,533,407,126,515,389,126,18,18,0,431,378,53,252,187,65,60,56,4,192,131,61,33,33,0,0,0,0,33,33,0,59,59,0
TX-601,"Fort Worth, Arlington/Tarrant County CoC",Major City CoC,"2,028","1,468",560,"1,597","1,047",550,431,421,10,320,204,116,284,175,109,36,29,7,168,136,32,76,53,23,10,10,0,66,43,23,9,9,0,0,0,0,9,9,0,11,11,0
TX-603,El Paso City & County CoC,Major City CoC,809,626,183,527,344,183,282,282,0,123,86,37,111,74,37,12,12,0,67,53,14,49,42,7,0,0,0,49,42,7,19,19,0,0,0,0,19,19,0,38,38,0
TX-604,Waco/McLennan County CoC,Largely Rural CoC,193,124,69,134,65,69,59,59,0,35,13,22,33,11,22,2,2,0,16,12,4,13,10,3,0,0,0,13,10,3,2,2,0,0,0,0,2,2,0,2,2,0
TX-607,Texas Balance of State CoC,Largely Rural CoC,"8,072","3,416","4,656","6,180","1,750","4,430","1,892","1,666",226,597,169,428,570,155,415,27,14,13,324,160,164,476,146,330,85,62,23,391,84,307,41,33,8,0,0,0,41,33,8,58,47,11
TX-611,Amarillo CoC,Other Largely Urban CoC,777,446,331,627,296,331,150,150,0,270,178,92,265,173,92,5,5,0,35,24,11,48,30,18,16,14,2,32,16,16,8,8,0,0,0,0,8,8,0,9,9,0
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Largely Rural CoC,243,180,63,217,158,59,26,22,4,11,4,7,11,4,7,0,0,0,22,14,8,18,18,0,16,16,0,2,2,0,3,2,1,0,0,0,3,2,1,4,2,2
TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Major City CoC,"3,938","2,324","1,614","2,957","1,343","1,614",981,981,0,661,179,482,616,134,482,45,45,0,375,181,194,236,147,89,0,0,0,236,147,89,30,30,0,0,0,0,30,30,0,46,46,0
TX-701,"Bryan, College Station/Brazos Valley CoC",Other Largely Urban CoC,123,102,21,92,74,18,31,28,3,16,8,8,16,8,8,0,0,0,9,6,3,8,8,0,1,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
UT-500,Salt Lake City & County CoC,Largely Suburban CoC,"1,844","1,651",193,"1,318","1,125",193,526,526,0,383,297,86,367,281,86,16,16,0,157,145,12,114,95,19,3,3,0,111,92,19,13,13,0,0,0,0,13,13,0,18,18,0
UT-503,Utah Balance of State CoC,Largely Suburban CoC,793,642,151,490,342,148,303,300,3,104,58,46,104,58,46,0,0,0,45,37,8,40,30,10,7,7,0,33,23,10,6,6,0,0,0,0,6,6,0,10,10,0
UT-504,Provo/Mountainland CoC,Largely Suburban CoC,161,97,64,113,49,64,48,48,0,25,9,16,22,6,16,3,3,0,9,2,7,9,5,4,0,0,0,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",Largely Suburban CoC,497,327,170,382,217,165,115,110,5,83,57,26,74,48,26,9,9,0,79,59,20,14,8,6,0,0,0,14,8,6,6,6,0,0,0,0,6,6,0,6,6,0
VA-501,"Norfolk, Chesapeake, Suffolk/Isle of Wight, Southampton Counties CoC",Largely Suburban CoC,700,614,86,493,409,84,207,205,2,77,60,17,77,60,17,0,0,0,66,57,9,31,25,6,0,0,0,31,25,6,11,11,0,0,0,0,11,11,0,13,13,0
VA-502,"Roanoke City & County, Salem CoC",Largely Suburban CoC,319,304,15,244,229,15,75,75,0,62,60,2,56,54,2,6,6,0,41,36,5,13,13,0,0,0,0,13,13,0,2,2,0,0,0,0,2,2,0,3,3,0
VA-503,Virginia Beach CoC,Major City CoC,260,206,54,190,136,54,70,70,0,38,32,6,38,32,6,0,0,0,36,31,5,23,17,6,9,9,0,14,8,6,1,1,0,0,0,0,1,1,0,2,2,0
VA-504,Charlottesville CoC,Largely Rural CoC,165,139,26,143,117,26,22,22,0,35,21,14,30,16,14,5,5,0,15,7,8,9,7,2,0,0,0,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0
VA-505,"Newport News, Hampton/Virginia Peninsula CoC",Other Largely Urban CoC,427,375,52,304,252,52,123,123,0,53,41,12,53,41,12,0,0,0,59,54,5,14,11,3,0,0,0,14,11,3,3,3,0,0,0,0,3,3,0,5,5,0
VA-507,Portsmouth CoC,Other Largely Urban CoC,119,108,11,80,69,11,39,39,0,8,5,3,8,5,3,0,0,0,15,14,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,5,5,0
VA-508,Lynchburg CoC,Largely Rural CoC,78,64,14,54,40,14,24,24,0,5,1,4,5,1,4,0,0,0,5,5,0,5,4,1,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
VA-513,"Harrisburg, Winchester/Western Virginia CoC",Largely Rural CoC,342,314,28,233,205,28,109,109,0,54,47,7,41,34,7,13,13,0,15,14,1,11,11,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",Largely Suburban CoC,221,185,36,132,96,36,89,89,0,30,16,14,30,16,14,0,0,0,13,8,5,12,9,3,0,0,0,12,9,3,3,3,0,0,0,0,3,3,0,6,6,0
VA-521,Virginia Balance of State CoC,Largely Rural CoC,761,637,124,389,289,100,372,348,24,24,14,10,24,14,10,0,0,0,30,19,11,35,29,6,0,0,0,35,29,6,11,10,1,0,0,0,11,10,1,14,13,1
VA-600,Arlington County CoC,Other Largely Urban CoC,215,179,36,149,113,36,66,66,0,74,42,32,74,42,32,0,0,0,10,7,3,6,5,1,0,0,0,6,5,1,4,4,0,0,0,0,4,4,0,4,4,0
VA-601,Fairfax County CoC,Largely Suburban CoC,"1,034",945,89,508,419,89,526,526,0,235,179,56,213,157,56,22,22,0,42,29,13,49,48,1,1,1,0,48,47,1,22,22,0,0,0,0,22,22,0,31,31,0
VA-602,Loudoun County CoC,Largely Suburban CoC,167,96,71,124,53,71,43,43,0,41,19,22,37,15,22,4,4,0,4,2,2,26,9,17,0,0,0,26,9,17,2,2,0,0,0,0,2,2,0,2,2,0
VA-603,Alexandria CoC,Other Largely Urban CoC,198,188,10,124,114,10,74,74,0,38,30,8,38,30,8,0,0,0,7,7,0,5,5,0,0,0,0,5,5,0,4,4,0,0,0,0,4,4,0,7,7,0
VA-604,Prince William County CoC,Largely Suburban CoC,280,243,37,117,80,37,163,163,0,24,20,4,19,15,4,5,5,0,10,6,4,5,3,2,0,0,0,5,3,2,2,2,0,0,0,0,2,2,0,4,4,0
VI-500,Virgin Islands CoC,Largely Rural CoC,314,82,232,314,82,232,0,0,0,105,0,105,105,0,105,0,0,0,13,0,13,6,0,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
VT-500,Vermont Balance of State CoC,Largely Rural CoC,780,714,66,453,389,64,327,325,2,116,95,21,105,86,19,11,9,2,70,64,6,68,57,11,6,6,0,62,51,11,22,21,1,0,0,0,22,21,1,27,26,1
VT-501,Burlington/Chittenden County CoC,Other Largely Urban CoC,309,261,48,228,180,48,81,81,0,74,62,12,58,46,12,16,16,0,17,14,3,37,37,0,0,0,0,37,37,0,5,5,0,0,0,0,5,5,0,8,8,0
WA-500,Seattle/King County CoC,Major City CoC,"11,199","5,971","5,228","8,748","3,583","5,165","2,451","2,388",63,"2,213","1,313",900,"2,034","1,143",891,179,170,9,830,365,465,"1,089",353,736,82,27,55,"1,007",326,681,83,79,4,0,0,0,83,79,4,105,99,6
WA-501,Washington Balance of State CoC,Largely Rural CoC,"5,509","3,210","2,299","3,834","1,789","2,045","1,675","1,421",254,"1,414",249,"1,165","1,299",226,"1,073",115,23,92,433,282,151,432,267,165,78,65,13,354,202,152,57,56,1,0,0,0,57,56,1,71,70,1
WA-502,Spokane City & County CoC,Other Largely Urban CoC,"1,309",994,315,"1,007",711,296,302,283,19,257,167,90,231,147,84,26,20,6,85,66,19,98,64,34,16,15,1,82,49,33,11,11,0,3,3,0,8,8,0,15,15,0
WA-503,"Tacoma, Lakewood/Pierce County CoC",Largely Suburban CoC,"1,486",857,629,"1,111",520,591,375,337,38,364,164,200,325,140,185,39,24,15,124,57,67,143,81,62,16,12,4,127,69,58,10,8,2,0,0,0,10,8,2,14,10,4
WA-504,Everett/Snohomish County CoC,Largely Suburban CoC,"1,116",517,599,779,272,507,337,245,92,476,118,358,405,87,318,71,31,40,58,23,35,101,42,59,31,20,11,70,22,48,9,4,5,2,2,0,7,2,5,13,8,5
WA-508,Vancouver/Clark County CoC,Largely Suburban CoC,958,471,487,506,220,286,452,251,201,160,62,98,152,54,98,8,8,0,55,25,30,48,17,31,15,6,9,33,11,22,8,8,0,0,0,0,8,8,0,7,7,0
WI-500,Wisconsin Balance of State CoC,Largely Rural CoC,"2,875","2,781",94,"1,418","1,329",89,"1,457","1,452",5,340,321,19,254,235,19,86,86,0,195,182,13,124,117,7,3,3,0,121,114,7,41,41,0,0,0,0,41,41,0,68,68,0
WI-501,Milwaukee City & County CoC,Major City CoC,885,771,114,625,519,106,260,252,8,73,33,40,73,33,40,0,0,0,89,83,6,55,51,4,19,19,0,36,32,4,11,10,1,0,0,0,11,10,1,17,16,1
WI-502,Racine City & County CoC,Largely Suburban CoC,200,188,12,148,136,12,52,52,0,15,11,4,10,6,4,5,5,0,37,36,1,3,3,0,0,0,0,3,3,0,3,3,0,0,0,0,3,3,0,2,2,0
WI-503,Madison/Dane County CoC,Other Largely Urban CoC,578,503,75,354,279,75,224,224,0,105,74,31,89,58,31,16,16,0,38,33,5,18,16,2,0,0,0,18,16,2,18,18,0,0,0,0,18,18,0,28,28,0
WV-500,"Wheeling, Weirton Area CoC",Largely Rural CoC,136,127,9,102,93,9,34,34,0,13,12,1,13,12,1,0,0,0,5,5,0,10,9,1,0,0,0,10,9,1,3,3,0,0,0,0,3,3,0,3,3,0
WV-501,"Huntington/Cabell, Wayne Counties CoC",Largely Rural CoC,171,122,49,157,108,49,14,14,0,10,3,7,10,3,7,0,0,0,19,15,4,13,13,0,0,0,0,13,13,0,3,3,0,0,0,0,3,3,0,3,3,0
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",Largely Suburban CoC,293,291,2,236,234,2,57,57,0,50,49,1,50,49,1,0,0,0,18,18,0,20,20,0,9,9,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
WV-508,West Virginia Balance of State CoC,Largely Rural CoC,797,609,188,654,484,170,143,125,18,88,39,49,79,36,43,9,3,6,95,75,20,46,32,14,1,0,1,45,32,13,5,3,2,1,0,1,4,3,1,5,3,2
WY-500,Wyoming Statewide CoC,Largely Rural CoC,548,423,125,437,329,108,111,94,17,67,23,44,64,23,41,3,0,3,51,43,8,81,64,17,16,12,4,65,52,13,4,4,0,0,0,0,4,4,0,4,4,0