State,County ,Additional Bed Capacity Needed,Number of infections,Num of hospitalizations,Num of critical cases,Num of fatalities
California,Los Angeles,65648,27758,2995,1005,486
California,Santa Clara,11635,4872,526,176,85
California,Alameda,9429,4009,433,145,70
Washington,King,9089,4344,469,157,76
New York,New York,8658,6088,657,220,107
California,San Francisco,8368,3794,409,137,66
California,San Diego,7447,3451,372,125,60
California,Orange,6418,2916,315,106,51
California,Sacramento,6008,2622,283,95,46
Nevada,Clark,5582,2608,281,94,46
Arizona,Maricopa,5322,2472,267,90,43
New York,Kings,4739,3333,360,121,58
New York,Bronx,4419,3108,335,112,54
Hawaii,Honolulu,3856,1739,188,63,30
Oregon,Multnomah,3688,1810,195,66,32
Illinois,Cook,3149,1755,189,64,31
California,Sonoma,3110,1392,150,50,24
California,Riverside,3108,1341,145,49,23
California,San Bernardino,2823,1183,128,43,21
Pennsylvania,Philadelphia,2628,1558,168,56,27
California,Contra Costa,2516,1102,119,40,19
California,Santa Cruz,2516,1060,114,38,19
Columbia,District of Columbia,2485,1647,178,60,29
Oregon,Lane,2473,1064,115,39,19
California,San Joaquin,2458,1094,118,40,19
Florida,Broward,2383,1150,124,42,20
New York,Queens,2296,1614,174,58,28
Texas,Harris,2295,1124,121,41,20
Texas,Dallas,2274,1212,131,44,21
California,Monterey,2181,922,99,33,16
Georgia,Fulton,2140,1295,140,47,23
Texas,Bexar,2105,1020,110,37,18
California,Fresno,2068,857,92,31,15
California,Humboldt,2058,861,93,31,15
Florida,Miami-Dade,2045,1071,116,39,19
Oregon,Marion,1879,815,88,30,14
California,Ventura,1872,793,86,29,14
Texas,Travis,1828,854,92,31,15
Texas,Fort Bend,1776,869,94,32,15
California,Stanislaus,1773,809,87,29,14
California,Imperial,1763,724,78,26,13
California,Santa Barbara,1758,772,83,28,14
Florida,Pinellas,1734,920,99,33,16
California,San Luis Obispo,1727,726,78,26,13
Minnesota,Hennepin,1565,914,99,33,16
Colorado,Denver,1458,910,98,33,16
Tennessee,Davidson,1427,814,88,29,14
Florida,Palm Beach,1421,610,66,22,11
California,San Mateo,1397,613,66,22,11
California,Solano,1379,581,63,21,10
Massachusetts,Suffolk,1334,988,107,36,17
Maryland,Baltimore,1308,834,90,30,15
California,Kern,1301,590,64,21,10
Texas,Parker,1298,724,78,26,13
California,Butte,1297,568,61,21,10
New Mexico,Bernalillo,1254,649,70,23,11
Texas,Tarrant,1242,692,74,25,12
Florida,Hillsborough,1195,580,63,21,10
Washington,Pierce,1166,572,61,20,10
Texas,Montgomery,1136,556,60,20,10
California,Marin,1089,475,51,17,8
Washington,Kitsap,1032,502,54,18,9
Ohio,Franklin,1026,607,65,22,11
Florida,Pasco,1000,415,45,15,7
New Jersey,Essex,991,603,65,22,11
Colorado,El Paso,981,536,58,19,9
Oregon,Yamhill,981,426,46,15,7
Washington,Snohomish,975,444,48,16,8
Florida,St. Lucie,938,380,41,14,7
California,Madera,936,388,42,14,7
Oregon,Benton,896,388,42,14,7
New York,Richmond,840,591,64,21,10
Utah,Salt Lake,833,558,60,20,10
California,Mendocino,829,362,39,13,6
Arizona,Pima,825,458,49,17,8
Minnesota,Ramsey,820,478,52,17,8
Michigan,Wayne,818,597,65,21,11
Oklahoma,Oklahoma,816,443,48,16,8
Florida,Duval,801,441,48,16,8
Washington,Spokane,797,461,50,17,8
Washington,Clark,792,361,39,13,6
North Carolina,Mecklenburg,788,520,56,19,9
California,San Benito,787,333,36,12,6
Hawaii,Maui,779,333,36,12,6
Texas,Collin,770,410,44,15,7
Washington,Thurston,758,369,40,13,6
Nevada,Washoe,754,476,51,17,8
Oklahoma,Tulsa,748,432,47,16,8
California,El Dorado,729,314,34,11,6
Oregon,Polk,720,312,34,11,5
Oregon,Deschutes,705,313,34,12,6
Ohio,Cuyahoga,689,492,53,18,9
Florida,Brevard,671,314,34,11,6
Indiana,Marion,663,472,51,17,8
Arkansas,Pulaski,646,305,33,11,5
California,Kings,644,278,30,10,5
Oregon,Jackson,641,309,33,11,5
Hawaii,Kauai,639,273,30,10,5
California,Shasta,621,283,30,10,5
California,Yolo,618,272,29,10,5
Colorado,Broomfield,611,382,41,14,7
New Jersey,Hudson,603,333,36,12,6
North Carolina,Wake,561,317,34,11,6
Massachusetts,Middlesex,559,367,40,13,7
Texas,Denton,553,260,28,9,5
Tennessee,Knox,539,322,35,12,6
Louisiana,Orleans,539,286,31,10,5
California,Tulare,535,231,25,8,4
Florida,Indian River,520,211,23,8,4
Kentucky,Jefferson,511,342,37,12,6
Oregon,Columbia,509,221,24,8,4
Florida,Volusia,508,215,23,8,4
New York,Nassau,503,381,41,14,7
Georgia,Chatham,497,268,29,10,5
Alaska,Anchorage,487,335,36,12,6
Massachusetts,Worcester,480,290,31,10,5
California,Merced,475,219,24,8,4
Maryland,Baltimore,465,232,25,8,4
Arizona,Pinal,465,223,24,8,4
California,Sutter,453,194,21,7,3
Florida,Martin,451,183,20,7,3
Florida,Seminole,450,270,29,10,5
Oklahoma,Cleveland,445,211,23,8,4
Georgia,DeKalb,444,218,24,8,3
Hawaii,Hawaii,439,188,20,7,3
Tennessee,Shelby,433,314,34,11,5
California,Amador,433,178,19,7,3
Texas,El Paso,428,240,26,9,4
Florida,Monroe,426,224,24,8,4
Alabama,Jefferson,423,226,25,8,4
Missouri,St. Louis,421,307,33,11,5
Florida,Orange,420,252,27,9,4
Oregon,Washington,418,205,22,7,4
Ohio,Hamilton,409,310,33,11,5
Texas,Williamson,404,183,20,7,3
Nebraska,Douglas,401,303,33,11,5
Oregon,Clackamas,401,196,21,7,3
Idaho,Canyon,400,178,19,6,3
Wisconsin,Milwaukee,396,253,27,9,4
Florida,Alachua,393,177,19,6,3
Texas,Hidalgo,391,175,19,6,3
Michigan,Kalamazoo,384,210,23,8,4
New Jersey,Camden,379,224,25,8,4
Connecticut,Hartford,363,226,24,8,4
Connecticut,Fairfield,361,228,24,8,4
Texas,Potter,359,178,19,6,3
Oregon,Linn,359,156,17,6,3
California,Placer,358,172,19,6,3
Oregon,Josephine,358,155,17,6,3
Louisiana,Jefferson,357,190,20,7,3
Iowa,Polk,355,232,25,8,4
Washington,Island,353,172,19,6,3
Texas,Gregg,352,158,17,6,3
Kentucky,Fayette,348,272,29,10,5
Georgia,Gwinnett,347,154,17,6,3
Florida,Marion,345,176,19,6,3
North Carolina,Buncombe,343,230,25,8,4
New Mexico,Los Alamos,342,169,18,6,3
Idaho,Ada,339,237,26,9,4
New York,Westchester,332,248,27,9,4
New York,Monroe,330,244,26,9,4
Minnesota,St. Louis,329,161,17,6,3
California,Yuba,326,139,15,5,3
California,Tehama,323,138,15,5,2
North Carolina,Cumberland,322,131,14,5,2
Ohio,Montgomery,317,226,24,8,4
California,Del Norte,314,143,15,5,2
Tennessee,Rutherford,313,160,17,6,3
Georgia,Richmond,309,157,17,6,3
Pennsylvania,Allegheny,308,219,24,8,4
Nevada,Carson City,306,135,15,5,2
Florida,St. Johns,306,133,14,5,2
Connecticut,New Haven,305,190,20,7,3
Florida,Okaloosa,304,140,15,5,2
California,Calaveras,303,125,13,5,2
New York,Albany,302,223,24,8,4
New Jersey,Middlesex,302,166,18,6,3
Oregon,Hood River,298,129,14,5,2
Florida,Leon,296,204,22,8,4
Texas,Randall,296,145,16,5,2
Florida,Lee,291,142,15,5,2
Florida,Polk,290,168,18,6,3
Florida,Escambia,290,160,17,6,3
North Carolina,Guilford,285,194,21,7,3
Delaware,New Castle,283,186,20,7,3
Ohio,Summit,280,176,19,6,3
South Carolina,Greenville,278,147,16,5,3
Florida,Columbia,278,116,12,4,2
Maryland,Montgomery,277,180,19,7,3
Oregon,Lincoln,274,119,13,4,2
Georgia,Cobb,273,147,16,5,3
California,Napa,273,134,14,5,2
Colorado,Arapahoe,269,168,18,6,3
Massachusetts,Bristol,267,162,18,6,3
Florida,Collier,266,157,17,6,3
Texas,Galveston,266,119,13,4,2
Kansas,Sedgwick,264,180,19,7,3
Alabama,Mobile,264,128,14,4,2
Florida,Bay,264,117,12,4,2
Colorado,Jefferson,261,163,18,6,3
Arizona,Santa Cruz,255,122,13,4,2
North Carolina,New Hanover,254,131,14,5,2
Texas,Cameron,254,114,12,4,2
Florida,Clay,253,139,15,5,2
Massachusetts,Norfolk,252,150,16,5,3
New Jersey,Atlantic,250,146,16,5,3
New Jersey,Passaic,249,134,14,5,2
New Hampshire,Hillsborough,248,168,18,6,3
Massachusetts,Essex,248,159,17,6,3
Oregon,Coos,248,108,12,4,2
Texas,Lubbock,247,110,12,4,2
Florida,Flagler,246,104,11,4,2
Wisconsin,Dane,245,154,17,6,3
Oregon,Clatsop,243,105,11,4,2
New Jersey,Mercer,240,145,16,5,3
Pennsylvania,Berks,237,184,20,7,3
Arizona,Yuma,236,113,12,4,2
Texas,Nueces,233,104,11,4,2
Michigan,Kent,232,176,19,6,3
Washington,Benton,231,113,12,4,2
Texas,Bell,228,102,11,4,2
Kansas,Shawnee,227,144,15,5,3
South Carolina,Horry,222,99,11,4,2
Massachusetts,Hampden,221,153,17,6,3
New York,Onondaga,218,169,18,6,3
Pennsylvania,Chester,215,161,17,6,3
Colorado,Larimer,213,113,12,4,2
North Carolina,Forsyth,212,156,17,6,3
Arkansas,Benton,211,106,11,4,2
South Carolina,Richland,207,121,13,4,2
North Carolina,Durham,201,115,12,4,2
Arkansas,Saline,200,94,10,3,2
Missouri,St. Charles,198,102,11,4,2
Florida,Suwannee,198,83,9,3,2
Massachusetts,Plymouth,196,150,16,5,3
Washington,Cowlitz,191,93,10,3,2
Virginia,Richmond,190,98,11,3,2
Nebraska,Lancaster,189,126,14,4,2
Maryland,Washington,189,103,11,4,2
New York,Erie,188,139,15,5,3
Michigan,Genesee,187,123,13,4,2
Washington,Whatcom,187,91,10,3,2
Ohio,Lucas,185,142,15,5,2
Illinois,Kane,184,125,13,4,2
Texas,Hays,184,82,9,3,1
Virginia,Norfolk,182,118,13,4,2
Florida,Hernando,182,85,9,3,2
Texas,Jefferson,181,81,9,3,1
Arkansas,Washington,180,90,10,3,2
Louisiana,Lafayette,179,87,10,3,1
Pennsylvania,Dauphin,177,115,12,4,2
South Carolina,Florence,177,78,9,3,1
Maryland,Frederick,176,97,10,4,2
Texas,Smith,176,79,9,3,1
Alabama,Shelby,174,93,10,3,2
Arizona,Yavapai,173,83,9,3,1
Texas,Orange,172,77,8,3,1
New York,Orange,171,108,12,4,2
Michigan,Oakland,170,112,12,4,2
South Carolina,Spartanburg,170,90,10,3,2
Nebraska,Sarpy,169,128,14,5,2
Illinois,DeKalb,169,110,12,4,2
Louisiana,East Baton Rouge,169,89,9,3,2
Maryland,Anne Arundel,168,100,11,4,2
California,Tuolumne,168,69,7,3,1
Virginia,Falls Church,167,109,11,4,2
Oregon,Umatilla,167,72,8,3,1
Missouri,St. Louis,166,118,13,4,2
Utah,Davis,166,96,10,3,2
Maryland,Prince George's,166,92,10,3,2
Oregon,Jefferson,165,74,8,3,1
South Carolina,Sumter,163,72,8,3,1
Missouri,Greene,161,99,11,3,2
Tennessee,Madison,161,66,7,2,1
California,Mono,160,65,7,2,1
Illinois,St. Clair,159,75,8,3,1
Florida,Lake,159,74,8,3,1
Michigan,Ingham,158,120,13,4,2
Rhode Island,Providence,158,112,12,4,2
Vermont,Chittenden,157,99,11,4,2
New Mexico,Santa Fe,157,78,8,3,1
California,Nevada,157,75,8,3,1
Florida,Highlands,157,63,7,2,1
New Jersey,Union,155,102,11,4,2
Pennsylvania,Delaware,155,97,10,4,2
Georgia,Muscogee,155,95,10,3,2
Texas,Brazoria,155,70,8,3,1
New Jersey,Monmouth,154,93,10,3,2
Colorado,Boulder,151,94,10,3,2
Texas,Comal,151,67,7,2,1
New Jersey,Morris,150,97,10,4,2
New Mexico,Valencia,149,74,8,3,1
Oregon,Douglas,149,65,7,2,1
Maine,Cumberland,146,105,11,4,2
Florida,Bradford,146,66,7,2,1
New York,Dutchess,144,109,12,4,2
New Jersey,Gloucester,144,85,9,3,1
Virginia,Virginia Beach,144,85,9,3,1
South Carolina,Lexington,144,84,9,3,2
Pennsylvania,Lehigh,144,83,9,3,2
Tennessee,Hamilton,144,74,8,3,1
Washington,Franklin,144,70,8,3,1
Washington,Skagit,142,69,7,3,1
Colorado,Adams,141,88,9,3,2
Georgia,Clayton,141,63,7,2,1
New Jersey,Burlington,140,99,11,4,2
Alaska,Fairbanks North Star,140,82,9,3,2
Arizona,Cochise,140,67,7,2,1
Ohio,Butler,139,77,8,3,1
Florida,Putnam,139,62,7,2,1
Maine,Androscoggin,137,99,11,4,2
Alabama,Madison,137,83,9,3,2
New York,Schenectady,135,96,10,3,2
South Carolina,York,135,79,9,3,1
Oregon,Tillamook,135,58,6,2,1
Pennsylvania,Lancaster,134,100,11,4,2
South Dakota,Minnehaha,134,77,8,3,1
Washington,Mason,134,65,7,2,1
Georgia,Forsyth,134,60,6,2,1
Idaho,Kootenai,134,60,6,2,1
Washington,Yakima,131,64,7,2,1
Georgia,Clarke,130,73,8,3,1
Pennsylvania,Erie,129,100,11,4,2
Colorado,Douglas,128,80,9,3,1
Maryland,Howard,128,62,7,2,1
Kentucky,Kenton,127,69,7,3,1
Illinois,Winnebago,126,82,9,3,1
Florida,Charlotte,126,63,7,2,1
Virginia,Loudoun,126,61,7,2,1
South Carolina,Darlington,126,56,6,2,1
Illinois,Sangamon,125,86,9,3,1
Texas,Ellis,125,56,6,2,1
New York,Ulster,124,76,8,3,1
Colorado,Pueblo,124,66,7,2,1
Georgia,Douglas,124,55,6,2,1
Rhode Island,Bristol,122,86,9,3,1
Alabama,Lauderdale,122,60,7,2,1
Minnesota,Anoka,122,59,6,2,1
Utah,Weber,121,70,8,3,1
South Carolina,Anderson,121,64,7,2,1
Georgia,Rockdale,121,54,6,2,1
Texas,Ector,121,54,6,2,1
Texas,Midland,121,54,6,2,1
New Jersey,Ocean,118,77,8,3,1
Pennsylvania,York,118,77,8,3,1
Colorado,Weld,118,63,7,2,1
North Carolina,Watauga,118,54,6,2,1
Georgia,Henry,118,52,6,2,1
Tennessee,Tipton,118,48,5,2,1
Illinois,DuPage,117,85,9,3,1
Massachusetts,Hampshire,117,83,9,3,2
Michigan,Macomb,116,81,9,3,1
Arkansas,Lonoke,116,55,6,2,1
Connecticut,Middlesex,115,72,8,3,1
Texas,Guadalupe,115,52,6,2,1
Georgia,Bibb,115,51,5,2,1
South Carolina,Pickens,114,60,6,2,1
New Mexico,Dona Ana,114,56,6,2,1
Texas,Taylor,114,51,6,2,1
Pennsylvania,Northampton,113,66,7,2,1
Florida,Citrus,113,53,6,2,1
Connecticut,Tolland,112,70,7,3,1
Illinois,Will,111,69,8,3,1
New York,Rockland,111,65,7,2,1
Montana,Yellowstone,111,62,7,2,1
Minnesota,Dakota,111,54,6,2,1
Michigan,Calhoun,110,67,7,2,1
Florida,Santa Rosa,110,61,7,2,1
Oklahoma,Canadian,109,58,6,2,1
Texas,Johnson,109,51,5,2,1
Arkansas,Faulkner,109,50,5,2,1
Connecticut,New London,108,68,7,2,1
New York,Suffolk,107,81,9,3,1
Michigan,Washtenaw,107,79,9,3,1
Illinois,Lake,107,68,7,2,1
Virginia,Arlington,107,65,7,2,1
Mississippi,Hinds,107,62,7,2,1
Utah,Utah,106,52,6,2,1
Washington,Walla Walla,105,51,6,2,1
New Jersey,Somerset,104,80,9,3,1
Indiana,Lake,104,66,7,2,1
Alaska,Juneau,103,60,7,2,1
California,Plumas,103,47,5,2,1
Texas,Kaufman,102,46,5,2,1
Michigan,Saginaw,101,74,8,3,1
North Carolina,Gaston,101,58,6,2,1
Georgia,Fayette,101,45,5,2,1
Idaho,Madison,101,45,5,2,1
Indiana,Vanderburgh,100,64,7,2,1
Florida,Sumter,100,47,5,2,1
California,Lassen,100,45,5,2,1
Arizona,Mohave,99,47,5,2,1
Texas,Grayson,99,44,5,2,1
Mississippi,Harrison,99,43,5,2,1
Maine,York,98,71,8,3,1
North Carolina,Cabarrus,98,54,6,2,1
Rhode Island,Kent,97,68,7,2,1
Pennsylvania,Bucks,97,66,7,2,1
Illinois,Kendall,97,60,7,2,1
Tennessee,Hamblen,97,43,5,2,1
Virginia,Fairfax,96,63,7,2,1
Oregon,Crook,96,42,5,2,1
Florida,DeSoto,96,38,4,1,1
Wisconsin,Waukesha,95,70,8,3,1
West Virginia,Cabell,95,54,6,2,1
Montana,Silver Bow,95,53,6,2,1
California,Siskiyou,95,44,5,2,1
Alabama,Baldwin,94,46,5,2,1
Florida,Hamilton,94,40,4,1,1
Maryland,Calvert,93,48,5,2,1
Texas,Hood,93,42,5,2,1
Georgia,Cherokee,93,41,4,1,1
New Jersey,Bergen,92,72,8,3,1
Missouri,Jasper,92,56,6,2,1
Alabama,St. Clair,92,49,5,2,1
Minnesota,Washington,92,45,5,2,1
Idaho,Bannock,92,41,4,1,1
Indiana,Hamilton,90,57,6,2,1
Kansas,Johnson,90,50,5,2,1
Oregon,Union,90,39,4,1,1
Maryland,Wicomico,89,58,6,2,1
Alabama,Montgomery,89,54,6,2,1
Massachusetts,Barnstable,87,54,6,2,1
Arkansas,Craighead,87,39,4,1,1
Virginia,Charlottesville,86,56,6,2,1
Florida,Nassau,86,47,5,2,1
South Carolina,Kershaw,86,38,4,1,1
California,Mariposa,86,35,4,1,1
Wisconsin,Racine,85,61,7,2,1
New Hampshire,Rockingham,85,52,6,2,1
Missouri,Buchanan,85,52,5,2,1
Colorado,Summit,85,45,5,2,1
Georgia,Paulding,85,38,4,1,1
Arkansas,Garland,84,38,4,1,1
Florida,Jackson,84,37,4,1,1
Texas,Wichita,83,49,5,2,1
Montana,Missoula,83,47,5,2,1
Maryland,Charles,83,43,5,1,1
Texas,McLennan,83,42,4,1,1
Alabama,Colbert,83,41,4,2,1
Colorado,Mesa,82,44,5,2,1
South Carolina,Dillon,82,36,4,1,1
Maine,Kennebec,81,58,6,2,1
Maryland,Allegany,81,44,5,2,1
South Carolina,Charleston,81,44,5,2,1
Tennessee,Washington,81,41,5,1,1
Florida,Walton,81,37,4,1,1
Michigan,Ottawa,80,55,6,2,1
Wyoming,Laramie,80,47,5,2,1
Tennessee,Sullivan,80,40,4,1,1
Georgia,Barrow,80,36,4,1,1
Texas,Angelina,80,36,4,1,1
Texas,Bowie,80,36,4,1,1
Oregon,Curry,80,35,4,1,1
North Carolina,Orange,79,47,5,2,1
Georgia,Hall,79,35,4,1,1
Florida,Okeechobee,79,32,3,1,0
Louisiana,Caddo,78,46,5,2,1
Colorado,Teller,78,42,4,2,1
Washington,Asotin,78,38,4,1,1
Texas,Hunt,78,35,4,1,1
Texas,Victoria,78,35,4,1,1
Minnesota,Sherburne,77,38,4,1,1
Oregon,Klamath,77,33,4,1,1
Florida,Hardee,77,31,3,1,0
Ohio,Stark,76,51,6,2,1
Indiana,St. Joseph,76,48,5,2,1
Washington,Grays Harbor,76,37,4,1,1
Georgia,Columbia,76,34,4,1,1
Pennsylvania,Montgomery,75,49,5,2,1
North Carolina,Catawba,75,41,4,1,1
Oregon,Wasco,75,32,4,1,1
Tennessee,Gibson,75,31,3,1,1
Pennsylvania,Lackawanna,74,54,6,2,1
Virginia,Franklin,74,48,5,2,1
South Carolina,Dorchester,74,41,4,2,1
Kentucky,Campbell,74,40,4,1,1
South Carolina,Greenwood,74,39,4,1,1
Arizona,Gila,74,36,4,1,1
New Mexico,Sandoval,74,36,4,1,1
Washington,Grant,74,36,4,1,1
Georgia,Catoosa,74,33,4,1,1
New Hampshire,Strafford,73,45,5,2,1
Ohio,Medina,73,40,4,1,1
Tennessee,Bradley,73,38,4,1,1
Virginia,Henrico,73,38,4,1,1
Florida,Gilchrist,73,33,4,1,1
Texas,San Patricio,73,33,4,1,1
New Mexico,Curry,72,35,4,1,1
Washington,Lewis,72,35,4,1,1
Arizona,Navajo,72,34,4,1,1
New York,Saratoga,71,54,6,2,1
Virginia,Fairfax,71,46,5,2,1
Indiana,Allen,71,45,5,2,1
Oklahoma,Pottawatomie,71,33,4,1,1
Virginia,Fredericksburg,70,42,4,1,1
Idaho,Bonneville,70,31,3,1,1
Idaho,Payette,70,31,3,1,1
Illinois,Macon,69,49,5,2,1
Connecticut,Windham,69,43,5,2,1
Maryland,Harford,69,42,5,2,1
North Carolina,Alamance,69,38,4,1,1
Ohio,Greene,69,38,4,1,1
Georgia,Houston,69,31,3,1,1
South Carolina,Marion,69,31,3,1,1
Mississippi,Jackson,69,30,3,1,0
Montana,Gallatin,68,38,4,1,1
Ohio,Warren,68,38,4,1,1
Colorado,Gilpin,68,36,4,1,1
South Carolina,Cherokee,68,36,4,1,1
Minnesota,Wright,68,33,4,1,1
Texas,Walker,68,30,3,1,1
New York,Rensselaer,67,48,5,2,1
Mississippi,Rankin,67,39,4,2,1
Kansas,Douglas,67,39,4,1,1
Georgia,Newton,67,30,3,1,1
Texas,Waller,67,30,3,1,1
North Carolina,Wilkes,67,30,3,1,0
Tennessee,Dyer,67,27,3,1,0
New York,Clinton,66,52,6,2,1
Ohio,Mahoning,66,48,5,2,1
Virginia,Alexandria,66,47,5,2,1
Florida,Gadsden,66,46,5,2,1
Indiana,Floyd,66,42,5,2,1
Alabama,Morgan,66,40,4,1,1
Florida,Osceola,66,39,4,1,1
Georgia,Whitfield,66,30,3,1,1
Texas,Bastrop,66,30,3,1,1
Texas,Henderson,66,30,3,1,1
Florida,Holmes,66,29,3,1,0
Florida,Washington,65,29,3,1,0
Virginia,Winchester,64,44,5,2,1
Maryland,Carroll,64,38,4,1,1
Ohio,Delaware,64,36,4,1,1
Missouri,Jefferson,64,35,4,1,1
Louisiana,Ascension,64,34,4,1,1
California,Inyo,64,26,3,1,0
Virginia,Harrisonburg,63,43,5,2,1
North Carolina,Union,63,35,4,1,1
Illinois,Madison,63,33,4,1,1
Texas,Rockwall,63,28,3,1,0
Virginia,Williamsburg,62,41,4,2,1
Virginia,Newport News,62,40,4,2,1
South Carolina,Aiken,62,36,4,1,1
Washington,Clallam,62,30,3,1,1
South Carolina,Marlboro,62,28,3,1,0
New York,Tompkins,61,49,5,2,1
New York,Broome,61,46,5,2,1
