State,County ,Additional Bed Capacity Needed,Number of infections,Num of hospitalizations,Num of critical cases,Num of fatalities
Michigan,Manistee,3,2,0,0,0
Michigan,Menominee,3,2,0,0,0
Michigan,Montmorency,3,2,0,0,0
Michigan,Oceana,3,2,0,0,0
Minnesota,Faribault,3,2,0,0,0
Minnesota,McLeod,3,2,0,0,0
Minnesota,Marshall,3,2,0,0,0
Minnesota,Pope,3,2,0,0,0
Mississippi,Jefferson Davis,3,2,0,0,0
Mississippi,Lawrence,3,2,0,0,0
Mississippi,Winston,3,2,0,0,0
Mississippi,Yazoo,3,2,0,0,0
Missouri,Carroll,3,2,0,0,0
Missouri,Clark,3,2,0,0,0
Missouri,Dade,3,2,0,0,0
Missouri,Daviess,3,2,0,0,0
Missouri,Douglas,3,2,0,0,0
Missouri,Gentry,3,2,0,0,0
Missouri,Maries,3,2,0,0,0
Missouri,Monroe,3,2,0,0,0
Missouri,Oregon,3,2,0,0,0
Missouri,St. Clair,3,2,0,0,0
Missouri,Schuyler,3,2,0,0,0
Missouri,Wayne,3,2,0,0,0
Montana,Beaverhead,3,2,0,0,0
Montana,Blaine,3,2,0,0,0
Montana,Chouteau,3,2,0,0,0
Montana,Liberty,3,2,0,0,0
Montana,Valley,3,2,0,0,0
Montana,Wheatland,3,2,0,0,0
Nebraska,Colfax,3,2,0,0,0
Nebraska,Dawson,3,2,0,0,0
Nebraska,Otoe,3,2,0,0,0
Nebraska,Saline,3,2,0,0,0
Nebraska,Wayne,3,2,0,0,0
Nebraska,York,3,2,0,0,0
New Mexico,Guadalupe,3,2,0,0,0
New Mexico,Hidalgo,3,2,0,0,0
North Dakota,Barnes,3,2,0,0,0
North Dakota,Mercer,3,2,0,0,0
North Dakota,Pembina,3,2,0,0,0
North Dakota,Ransom,3,2,0,0,0
Oklahoma,Coal,3,2,0,0,0
South Dakota,Buffalo,3,2,0,0,0
South Dakota,Butte,3,2,0,0,0
South Dakota,Custer,3,2,0,0,0
South Dakota,Day,3,2,0,0,0
South Dakota,Fall River,3,2,0,0,0
South Dakota,Gregory,3,2,0,0,0
South Dakota,Marshall,3,2,0,0,0
South Dakota,Miner,3,2,0,0,0
South Dakota,Sanborn,3,2,0,0,0
South Dakota,Spink,3,2,0,0,0
Tennessee,Hickman,3,2,0,0,0
Tennessee,Van Buren,3,2,0,0,0
Texas,Cochran,3,2,0,0,0
Texas,Concho,3,2,0,0,0
Texas,Donley,3,2,0,0,0
Texas,Hartley,3,2,0,0,0
Texas,Hemphill,3,2,0,0,0
Texas,Knox,3,2,0,0,0
Texas,Mason,3,2,0,0,0
Texas,Robertson,3,2,0,0,0
Utah,Box Elder,3,2,0,0,0
Utah,Tooele,3,2,0,0,0
Virginia,Albemarle,3,2,0,0,0
Virginia,Montgomery,3,2,0,0,0
West Virginia,Tucker,3,2,0,0,0
West Virginia,Webster,3,2,0,0,0
Wisconsin,Buffalo,3,2,0,0,0
Wisconsin,Jackson,3,2,0,0,0
Wisconsin,Kewaunee,3,2,0,0,0
Wisconsin,Langlade,3,2,0,0,0
Wisconsin,Taylor,3,2,0,0,0
Wisconsin,Vilas,3,2,0,0,0
Wisconsin,Washburn,3,2,0,0,0
Alabama,Clarke,3,1,0,0,0
Alabama,Clay,3,1,0,0,0
Alabama,Crenshaw,3,1,0,0,0
Alabama,Marengo,3,1,0,0,0
Alabama,Monroe,3,1,0,0,0
Alabama,Pickens,3,1,0,0,0
Georgia,Charlton,3,1,0,0,0
Georgia,Clay,3,1,0,0,0
Georgia,Quitman,3,1,0,0,0
Georgia,Webster,3,1,0,0,0
Illinois,Clay,3,1,0,0,0
Illinois,Cumberland,3,1,0,0,0
Illinois,Edgar,3,1,0,0,0
Illinois,Fayette,3,1,0,0,0
Illinois,Shelby,3,1,0,0,0
Kentucky,Hickman,3,1,0,0,0
Minnesota,Koochiching,3,1,0,0,0
Mississippi,Attala,3,1,0,0,0
Mississippi,Calhoun,3,1,0,0,0
Mississippi,Holmes,3,1,0,0,0
Mississippi,Jasper,3,1,0,0,0
Mississippi,Montgomery,3,1,0,0,0
Mississippi,Smith,3,1,0,0,0
Mississippi,Wayne,3,1,0,0,0
Mississippi,Yalobusha,3,1,0,0,0
Missouri,Ozark,3,1,0,0,0
Oklahoma,Beaver,3,1,0,0,0
Oklahoma,Ellis,3,1,0,0,0
Oklahoma,Harper,3,1,0,0,0
Texas,Coke,3,1,0,0,0
Texas,Collingsworth,3,1,0,0,0
Texas,Hall,3,1,0,0,0
Texas,Kimble,3,1,0,0,0
Texas,Lipscomb,3,1,0,0,0
Texas,Pecos,3,1,0,0,0
Texas,Shackelford,3,1,0,0,0
Texas,Sherman,3,1,0,0,0
Alaska,Dillingham,2,2,0,0,0
Arkansas,Union,2,2,0,0,0
Illinois,Mercer,2,2,0,0,0
Iowa,Calhoun,2,2,0,0,0
Iowa,Davis,2,2,0,0,0
Iowa,Franklin,2,2,0,0,0
Iowa,Guthrie,2,2,0,0,0
Iowa,Hancock,2,2,0,0,0
Iowa,Howard,2,2,0,0,0
Iowa,Ida,2,2,0,0,0
Iowa,Keokuk,2,2,0,0,0
Iowa,Lyon,2,2,0,0,0
Iowa,Monroe,2,2,0,0,0
Iowa,Palo Alto,2,2,0,0,0
Iowa,Sac,2,2,0,0,0
Iowa,Worth,2,2,0,0,0
Kansas,Morris,2,2,0,0,0
Kansas,Ottawa,2,2,0,0,0
Louisiana,Union,2,2,0,0,0
Michigan,Chippewa,2,2,0,0,0
Michigan,Huron,2,2,0,0,0
Michigan,Leelanau,2,2,0,0,0
Michigan,Oscoda,2,2,0,0,0
Minnesota,Grant,2,2,0,0,0
Minnesota,Kandiyohi,2,2,0,0,0
Minnesota,Kittson,2,2,0,0,0
Minnesota,Wilkin,2,2,0,0,0
Nebraska,Butler,2,2,0,0,0
Nebraska,Cuming,2,2,0,0,0
Nebraska,Hamilton,2,2,0,0,0
Nebraska,Lincoln,2,2,0,0,0
Nebraska,Merrick,2,2,0,0,0
Nebraska,Nemaha,2,2,0,0,0
Nebraska,Phelps,2,2,0,0,0
Nebraska,Red Willow,2,2,0,0,0
Nebraska,Richardson,2,2,0,0,0
Nebraska,Stanton,2,2,0,0,0
Nebraska,Thurston,2,2,0,0,0
North Dakota,Benson,2,2,0,0,0
North Dakota,Dickey,2,2,0,0,0
North Dakota,Foster,2,2,0,0,0
North Dakota,Sargent,2,2,0,0,0
Pennsylvania,Forest,2,2,0,0,0
South Dakota,Aurora,2,2,0,0,0
South Dakota,Clark,2,2,0,0,0
South Dakota,Jerauld,2,2,0,0,0
Texas,Leon,2,2,0,0,0
Utah,Uintah,2,2,0,0,0
Virginia,Campbell,2,2,0,0,0
Virginia,Greene,2,2,0,0,0
Virginia,Southampton,2,2,0,0,0
West Virginia,Wetzel,2,2,0,0,0
Wisconsin,Burnett,2,2,0,0,0
Wisconsin,Rusk,2,2,0,0,0
Alabama,Choctaw,2,1,0,0,0
Alabama,Conecuh,2,1,0,0,0
Alabama,Coosa,2,1,0,0,0
Alabama,Greene,2,1,0,0,0
Alabama,Perry,2,1,0,0,0
Alabama,Sumter,2,1,0,0,0
Alabama,Washington,2,1,0,0,0
Alabama,Wilcox,2,1,0,0,0
Alaska,Aleutians East,2,1,0,0,0
Alaska,Denali,2,1,0,0,0
Alaska,Hoonah-Angoon,2,1,0,0,0
Alaska,Northwest Arctic,2,1,0,0,0
Arkansas,Ouachita,2,1,0,0,0
Colorado,Cheyenne,2,1,0,0,0
Colorado,Jackson,2,1,0,0,0
Colorado,Mineral,2,1,0,0,0
Georgia,Baker,2,1,0,0,0
Georgia,Clinch,2,1,0,0,0
Georgia,Echols,2,1,0,0,0
Georgia,Stewart,2,1,0,0,0
Georgia,Taliaferro,2,1,0,0,0
Idaho,Butte,2,1,0,0,0
Idaho,Idaho,2,1,0,0,0
Idaho,Lemhi,2,1,0,0,0
Idaho,Owyhee,2,1,0,0,0
Illinois,Calhoun,2,1,0,0,0
Illinois,Cass,2,1,0,0,0
Illinois,Gallatin,2,1,0,0,0
Illinois,Greene,2,1,0,0,0
Illinois,Hamilton,2,1,0,0,0
Illinois,Jasper,2,1,0,0,0
Illinois,Stark,2,1,0,0,0
Illinois,Warren,2,1,0,0,0
Iowa,Adair,2,1,0,0,0
Iowa,Audubon,2,1,0,0,0
Iowa,Decatur,2,1,0,0,0
Iowa,Fremont,2,1,0,0,0
Iowa,Greene,2,1,0,0,0
Iowa,Kossuth,2,1,0,0,0
Iowa,Monona,2,1,0,0,0
Iowa,Osceola,2,1,0,0,0
Iowa,Pocahontas,2,1,0,0,0
Iowa,Van Buren,2,1,0,0,0
Kansas,Chautauqua,2,1,0,0,0
Kansas,Gray,2,1,0,0,0
Kansas,Greenwood,2,1,0,0,0
Kansas,Harper,2,1,0,0,0
Kansas,Haskell,2,1,0,0,0
Kansas,Norton,2,1,0,0,0
Kansas,Phillips,2,1,0,0,0
Kansas,Republic,2,1,0,0,0
Kansas,Rooks,2,1,0,0,0
Kansas,Russell,2,1,0,0,0
Kansas,Scott,2,1,0,0,0
Kansas,Sherman,2,1,0,0,0
Kansas,Stafford,2,1,0,0,0
Kansas,Stevens,2,1,0,0,0
Kansas,Thomas,2,1,0,0,0
Kansas,Washington,2,1,0,0,0
Kansas,Woodson,2,1,0,0,0
Louisiana,Caldwell,2,1,0,0,0
Louisiana,East Carroll,2,1,0,0,0
Louisiana,Madison,2,1,0,0,0
Louisiana,Plaquemines,2,1,0,0,0
Michigan,Eaton,2,1,0,0,0
Michigan,Gogebic,2,1,0,0,0
Michigan,Iosco,2,1,0,0,0
Michigan,Iron,2,1,0,0,0
Minnesota,Lake,2,1,0,0,0
Minnesota,Lyon,2,1,0,0,0
Minnesota,Meeker,2,1,0,0,0
Mississippi,Amite,2,1,0,0,0
Mississippi,Benton,2,1,0,0,0
Mississippi,Carroll,2,1,0,0,0
Mississippi,Choctaw,2,1,0,0,0
Mississippi,Claiborne,2,1,0,0,0
Mississippi,Clarke,2,1,0,0,0
Mississippi,Greene,2,1,0,0,0
Mississippi,Humphreys,2,1,0,0,0
Mississippi,Noxubee,2,1,0,0,0
Mississippi,Perry,2,1,0,0,0
Mississippi,Quitman,2,1,0,0,0
Mississippi,Tallahatchie,2,1,0,0,0
Mississippi,Tunica,2,1,0,0,0
Mississippi,Webster,2,1,0,0,0
Missouri,Atchison,2,1,0,0,0
Missouri,Carter,2,1,0,0,0
Missouri,Chariton,2,1,0,0,0
Missouri,Harrison,2,1,0,0,0
Missouri,Holt,2,1,0,0,0
Missouri,Knox,2,1,0,0,0
Missouri,Mercer,2,1,0,0,0
Missouri,Putnam,2,1,0,0,0
Missouri,Reynolds,2,1,0,0,0
Missouri,Scotland,2,1,0,0,0
Missouri,Shannon,2,1,0,0,0
Missouri,Shelby,2,1,0,0,0
Missouri,Sullivan,2,1,0,0,0
Missouri,Worth,2,1,0,0,0
Montana,Daniels,2,1,0,0,0
Montana,Judith Basin,2,1,0,0,0
Montana,Meagher,2,1,0,0,0
Montana,Phillips,2,1,0,0,0
Montana,Wibaux,2,1,0,0,0
Nebraska,Burt,2,1,0,0,0
Nebraska,Cedar,2,1,0,0,0
Nebraska,Clay,2,1,0,0,0
Nebraska,Dixon,2,1,0,0,0
Nebraska,Jefferson,2,1,0,0,0
Nebraska,Johnson,2,1,0,0,0
Nebraska,Kearney,2,1,0,0,0
Nebraska,Pierce,2,1,0,0,0
Nebraska,Polk,2,1,0,0,0
Nevada,Elko,2,1,0,0,0
Nevada,Nye,2,1,0,0,0
New Mexico,De Baca,2,1,0,0,0
New Mexico,Union,2,1,0,0,0
North Dakota,Bottineau,2,1,0,0,0
North Dakota,Eddy,2,1,0,0,0
North Dakota,LaMoure,2,1,0,0,0
North Dakota,McLean,2,1,0,0,0
North Dakota,Mountrail,2,1,0,0,0
North Dakota,Pierce,2,1,0,0,0
North Dakota,Sioux,2,1,0,0,0
Oklahoma,Pushmataha,2,1,0,0,0
Pennsylvania,Cameron,2,1,0,0,0
Pennsylvania,Potter,2,1,0,0,0
Pennsylvania,Sullivan,2,1,0,0,0
South Dakota,Bennett,2,1,0,0,0
South Dakota,Edmunds,2,1,0,0,0
South Dakota,Faulk,2,1,0,0,0
South Dakota,Hand,2,1,0,0,0
South Dakota,Potter,2,1,0,0,0
South Dakota,Tripp,2,1,0,0,0
Tennessee,Perry,2,1,0,0,0
Tennessee,Wayne,2,1,0,0,0
Texas,Armstrong,2,1,0,0,0
Texas,Baylor,2,1,0,0,0
Texas,Dickens,2,1,0,0,0
Texas,Hardeman,2,1,0,0,0
Texas,Kinney,2,1,0,0,0
Texas,Menard,2,1,0,0,0
Texas,Presidio,2,1,0,0,0
Texas,Reagan,2,1,0,0,0
Texas,Schleicher,2,1,0,0,0
Texas,Sutton,2,1,0,0,0
Texas,Upton,2,1,0,0,0
Utah,Duchesne,2,1,0,0,0
Virginia,Bedford,2,1,0,0,0
Virginia,Botetourt,2,1,0,0,0
Virginia,Caroline,2,1,0,0,0
Virginia,Charles City,2,1,0,0,0
Virginia,Clarke,2,1,0,0,0
Virginia,Culpeper,2,1,0,0,0
Virginia,Fluvanna,2,1,0,0,0
Virginia,Gloucester,2,1,0,0,0
Virginia,Henry,2,1,0,0,0
Virginia,Page,2,1,0,0,0
Virginia,Prince George,2,1,0,0,0
Virginia,Rockingham,2,1,0,0,0
Virginia,Shenandoah,2,1,0,0,0
West Virginia,Pendleton,2,1,0,0,0
Wisconsin,Door,2,1,0,0,0
Wisconsin,Menominee,2,1,0,0,0
Wisconsin,Price,2,1,0,0,0
Wisconsin,Sawyer,2,1,0,0,0
Wyoming,Niobrara,2,1,0,0,0
Alaska,North Slope,1,1,0,0,0
Arkansas,Arkansas,1,1,0,0,0
Arkansas,Ashley,1,1,0,0,0
Arkansas,Bradley,1,1,0,0,0
Arkansas,Chicot,1,1,0,0,0
Arkansas,Columbia,1,1,0,0,0
Arkansas,Drew,1,1,0,0,0
Arkansas,Grant,1,1,0,0,0
Arkansas,Lincoln,1,1,0,0,0
Colorado,Hinsdale,1,1,0,0,0
Colorado,Kiowa,1,1,0,0,0
Illinois,Brown,1,1,0,0,0
Illinois,Hancock,1,1,0,0,0
Illinois,Henderson,1,1,0,0,0
Illinois,Pike,1,1,0,0,0
Illinois,Pope,1,1,0,0,0
Illinois,Schuyler,1,1,0,0,0
Illinois,Scott,1,1,0,0,0
Iowa,Adams,1,1,0,0,0
Iowa,Ringgold,1,1,0,0,0
Iowa,Taylor,1,1,0,0,0
Iowa,Wayne,1,1,0,0,0
Kansas,Barber,1,1,0,0,0
Kansas,Edwards,1,1,0,0,0
Kansas,Elk,1,1,0,0,0
Kansas,Kearny,1,1,0,0,0
Kansas,Lincoln,1,1,0,0,0
Kansas,Meade,1,1,0,0,0
Kansas,Morton,1,1,0,0,0
Kansas,Osborne,1,1,0,0,0
Kansas,Rush,1,1,0,0,0
Kansas,Smith,1,1,0,0,0
Michigan,Alcona,1,1,0,0,0
Michigan,Alger,1,1,0,0,0
Michigan,Baraga,1,1,0,0,0
Minnesota,Chippewa,1,1,0,0,0
Minnesota,Lake of the Woods,1,1,0,0,0
Minnesota,Nobles,1,1,0,0,0
Minnesota,Pipestone,1,1,0,0,0
Minnesota,Rock,1,1,0,0,0
Minnesota,Traverse,1,1,0,0,0
Mississippi,Franklin,1,1,0,0,0
Mississippi,Jefferson,1,1,0,0,0
Mississippi,Kemper,1,1,0,0,0
Mississippi,Wilkinson,1,1,0,0,0
Montana,Golden Valley,1,1,0,0,0
Montana,McCone,1,1,0,0,0
Montana,Prairie,1,1,0,0,0
Montana,Treasure,1,1,0,0,0
Nebraska,Antelope,1,1,0,0,0
Nebraska,Boone,1,1,0,0,0
Nebraska,Box Butte,1,1,0,0,0
Nebraska,Cheyenne,1,1,0,0,0
Nebraska,Dawes,1,1,0,0,0
Nebraska,Fillmore,1,1,0,0,0
Nebraska,Furnas,1,1,0,0,0
Nebraska,Howard,1,1,0,0,0
Nebraska,Keith,1,1,0,0,0
Nebraska,Knox,1,1,0,0,0
Nebraska,Nance,1,1,0,0,0
Nebraska,Nuckolls,1,1,0,0,0
Nebraska,Pawnee,1,1,0,0,0
Nebraska,Thayer,1,1,0,0,0
Nebraska,Valley,1,1,0,0,0
Nebraska,Webster,1,1,0,0,0
Nevada,Humboldt,1,1,0,0,0
North Carolina,Tyrrell,1,1,0,0,0
North Dakota,Adams,1,1,0,0,0
North Dakota,Bowman,1,1,0,0,0
North Dakota,Cavalier,1,1,0,0,0
North Dakota,Emmons,1,1,0,0,0
North Dakota,Griggs,1,1,0,0,0
North Dakota,Hettinger,1,1,0,0,0
North Dakota,Logan,1,1,0,0,0
North Dakota,McHenry,1,1,0,0,0
North Dakota,McIntosh,1,1,0,0,0
North Dakota,McKenzie,1,1,0,0,0
North Dakota,Nelson,1,1,0,0,0
North Dakota,Oliver,1,1,0,0,0
North Dakota,Renville,1,1,0,0,0
North Dakota,Steele,1,1,0,0,0
North Dakota,Towner,1,1,0,0,0
North Dakota,Wells,1,1,0,0,0
Oklahoma,Cotton,1,1,0,0,0
Oklahoma,Grant,1,1,0,0,0
Oklahoma,Greer,1,1,0,0,0
Oklahoma,Jefferson,1,1,0,0,0
Oklahoma,Kiowa,1,1,0,0,0
Oklahoma,Tillman,1,1,0,0,0
South Dakota,Campbell,1,1,0,0,0
South Dakota,Dewey,1,1,0,0,0
South Dakota,Hyde,1,1,0,0,0
South Dakota,Lyman,1,1,0,0,0
South Dakota,McPherson,1,1,0,0,0
South Dakota,Stanley,1,1,0,0,0
Texas,Briscoe,1,1,0,0,0
Virginia,Alleghany,1,1,0,0,0
Virginia,Amherst,1,1,0,0,0
Virginia,Fauquier,1,1,0,0,0
Virginia,Franklin,1,1,0,0,0
Virginia,Louisa,1,1,0,0,0
Virginia,Orange,1,1,0,0,0
Virginia,Pulaski,1,1,0,0,0
Virginia,Tazewell,1,1,0,0,0
Virginia,Washington,1,1,0,0,0
Virginia,Wise,1,1,0,0,0
West Virginia,Pocahontas,1,1,0,0,0
Wisconsin,Ashland,1,1,0,0,0
Wisconsin,Bayfield,1,1,0,0,0
Wisconsin,Florence,1,1,0,0,0
Wisconsin,Forest,1,1,0,0,0
Wisconsin,Iron,1,1,0,0,0
Alaska,Lake and Peninsula,1,0,0,0,0
Alaska,Yakutat,1,0,0,0,0
Arkansas,Cleveland,1,0,0,0,0
Arkansas,Dallas,1,0,0,0,0
Arkansas,Desha,1,0,0,0,0
Idaho,Camas,1,0,0,0,0
Idaho,Clark,1,0,0,0,0
Idaho,Custer,1,0,0,0,0
Kansas,Chase,1,0,0,0,0
Kansas,Cheyenne,1,0,0,0,0
Kansas,Clark,1,0,0,0,0
Kansas,Comanche,1,0,0,0,0
Kansas,Decatur,1,0,0,0,0
Kansas,Gove,1,0,0,0,0
Kansas,Graham,1,0,0,0,0
Kansas,Hamilton,1,0,0,0,0
Kansas,Hodgeman,1,0,0,0,0
Kansas,Jewell,1,0,0,0,0
Kansas,Kiowa,1,0,0,0,0
Kansas,Lane,1,0,0,0,0
Kansas,Logan,1,0,0,0,0
Kansas,Ness,1,0,0,0,0
Kansas,Rawlins,1,0,0,0,0
Kansas,Sheridan,1,0,0,0,0
Kansas,Stanton,1,0,0,0,0
Kansas,Trego,1,0,0,0,0
Kansas,Wichita,1,0,0,0,0
Louisiana,Cameron,1,0,0,0,0
Louisiana,Tensas,1,0,0,0,0
Michigan,Luce,1,0,0,0,0
Michigan,Mackinac,1,0,0,0,0
Michigan,Presque Isle,1,0,0,0,0
Michigan,Schoolcraft,1,0,0,0,0
Minnesota,Cook,1,0,0,0,0
Minnesota,Cottonwood,1,0,0,0,0
Minnesota,Jackson,1,0,0,0,0
Minnesota,Lincoln,1,0,0,0,0
Minnesota,Murray,1,0,0,0,0
Minnesota,Redwood,1,0,0,0,0
Minnesota,Renville,1,0,0,0,0
Minnesota,Swift,1,0,0,0,0
Minnesota,Yellow Medicine,1,0,0,0,0
Mississippi,Sharkey,1,0,0,0,0
Montana,Carter,1,0,0,0,0
Montana,Petroleum,1,0,0,0,0
Montana,Powder River,1,0,0,0,0
Nebraska,Boyd,1,0,0,0,0
Nebraska,Chase,1,0,0,0,0
Nebraska,Custer,1,0,0,0,0
Nebraska,Deuel,1,0,0,0,0
Nebraska,Franklin,1,0,0,0,0
Nebraska,Gosper,1,0,0,0,0
Nebraska,Greeley,1,0,0,0,0
Nebraska,Harlan,1,0,0,0,0
Nebraska,Hitchcock,1,0,0,0,0
Nebraska,Holt,1,0,0,0,0
Nebraska,Kimball,1,0,0,0,0
Nebraska,Sherman,1,0,0,0,0
Nevada,Lander,1,0,0,0,0
Nevada,Mineral,1,0,0,0,0
Nevada,Pershing,1,0,0,0,0
Nevada,White Pine,1,0,0,0,0
New Mexico,Catron,1,0,0,0,0
New Mexico,Harding,1,0,0,0,0
New York,Hamilton,1,0,0,0,0
North Carolina,Hyde,1,0,0,0,0
North Dakota,Burke,1,0,0,0,0
North Dakota,Divide,1,0,0,0,0
North Dakota,Dunn,1,0,0,0,0
North Dakota,Golden Valley,1,0,0,0,0
North Dakota,Grant,1,0,0,0,0
North Dakota,Kidder,1,0,0,0,0
North Dakota,Sheridan,1,0,0,0,0
Oklahoma,Cimarron,1,0,0,0,0
Oklahoma,Harmon,1,0,0,0,0
South Dakota,Corson,1,0,0,0,0
South Dakota,Haakon,1,0,0,0,0
South Dakota,Jackson,1,0,0,0,0
South Dakota,Jones,1,0,0,0,0
South Dakota,Mellette,1,0,0,0,0
South Dakota,Perkins,1,0,0,0,0
South Dakota,Sully,1,0,0,0,0
South Dakota,Ziebach,1,0,0,0,0
Texas,Borden,1,0,0,0,0
Texas,Brewster,1,0,0,0,0
Texas,Cottle,1,0,0,0,0
Texas,Crockett,1,0,0,0,0
Texas,Culberson,1,0,0,0,0
Texas,Edwards,1,0,0,0,0
Texas,Foard,1,0,0,0,0
Texas,Glasscock,1,0,0,0,0
Texas,Hudspeth,1,0,0,0,0
Texas,Irion,1,0,0,0,0
Texas,Jeff Davis,1,0,0,0,0
Texas,Kent,1,0,0,0,0
Texas,Motley,1,0,0,0,0
Texas,Oldham,1,0,0,0,0
Texas,Roberts,1,0,0,0,0
Texas,Sterling,1,0,0,0,0
Texas,Stonewall,1,0,0,0,0
Texas,Throckmorton,1,0,0,0,0
Utah,Beaver,1,0,0,0,0
Utah,Daggett,1,0,0,0,0
Utah,Emery,1,0,0,0,0
Utah,Grand,1,0,0,0,0
Utah,Juab,1,0,0,0,0
Utah,Kane,1,0,0,0,0
Utah,Millard,1,0,0,0,0
Utah,Piute,1,0,0,0,0
Utah,Rich,1,0,0,0,0
Utah,San Juan,1,0,0,0,0
Virginia,Appomattox,1,0,0,0,0
Virginia,Augusta,1,0,0,0,0
Virginia,Buchanan,1,0,0,0,0
Virginia,Carroll,1,0,0,0,0
Virginia,Dickenson,1,0,0,0,0
Virginia,Dinwiddie,1,0,0,0,0
Virginia,Essex,1,0,0,0,0
Virginia,Floyd,1,0,0,0,0
Virginia,Giles,1,0,0,0,0
Virginia,Greensville,1,0,0,0,0
Virginia,Halifax,1,0,0,0,0
Virginia,King William,1,0,0,0,0
Virginia,Lancaster,1,0,0,0,0
Virginia,Lee,1,0,0,0,0
Virginia,Madison,1,0,0,0,0
Virginia,Mecklenburg,1,0,0,0,0
Virginia,Middlesex,1,0,0,0,0
Virginia,Nelson,1,0,0,0,0
Virginia,Northumberland,1,0,0,0,0
Virginia,Nottoway,1,0,0,0,0
Virginia,Patrick,1,0,0,0,0
Virginia,Pittsylvania,1,0,0,0,0
Virginia,Prince Edward,1,0,0,0,0
Virginia,Richmond,1,0,0,0,0
Virginia,Rockbridge,1,0,0,0,0
Virginia,Russell,1,0,0,0,0
Virginia,Scott,1,0,0,0,0
Virginia,Smyth,1,0,0,0,0
Virginia,Westmoreland,1,0,0,0,0
Virginia,Wythe,1,0,0,0,0
NA,NA,0,0,0,0,0
Alaska,Yukon-Koyukuk,0,0,0,0,0
Arkansas,Calhoun,0,0,0,0,0
Kansas,Greeley,0,0,0,0,0
Kansas,Wallace,0,0,0,0,0
Kansas,Wyandotte,0,0,0,0,0
Michigan,Keweenaw,0,0,0,0,0
Michigan,Ontonagon,0,0,0,0,0
Minnesota,Big Stone,0,0,0,0,0
Minnesota,Lac qui Parle,0,0,0,0,0
Mississippi,Issaquena,0,0,0,0,0
Missouri,Jackson,0,0,0,0,0
Montana,Garfield,0,0,0,0,0
Nebraska,Arthur,0,0,0,0,0
Nebraska,Banner,0,0,0,0,0
Nebraska,Blaine,0,0,0,0,0
Nebraska,Brown,0,0,0,0,0
Nebraska,Cherry,0,0,0,0,0
Nebraska,Dundy,0,0,0,0,0
Nebraska,Frontier,0,0,0,0,0
Nebraska,Garden,0,0,0,0,0
Nebraska,Garfield,0,0,0,0,0
Nebraska,Grant,0,0,0,0,0
Nebraska,Hayes,0,0,0,0,0
Nebraska,Hooker,0,0,0,0,0
Nebraska,Keya Paha,0,0,0,0,0
Nebraska,Logan,0,0,0,0,0
Nebraska,Loup,0,0,0,0,0
Nebraska,McPherson,0,0,0,0,0
Nebraska,Morrill,0,0,0,0,0
Nebraska,Perkins,0,0,0,0,0
Nebraska,Rock,0,0,0,0,0
Nebraska,Sheridan,0,0,0,0,0
Nebraska,Sioux,0,0,0,0,0
Nebraska,Thomas,0,0,0,0,0
Nebraska,Wheeler,0,0,0,0,0
Nevada,Esmeralda,0,0,0,0,0
Nevada,Eureka,0,0,0,0,0
Nevada,Lincoln,0,0,0,0,0
North Dakota,Billings,0,0,0,0,0
North Dakota,Slope,0,0,0,0,0
Oklahoma,Roger Mills,0,0,0,0,0
South Dakota,Harding,0,0,0,0,0
NA,NA,0,0,0,0,0
Texas,Kenedy,0,0,0,0,0
Texas,King,0,0,0,0,0
Texas,Loving,0,0,0,0,0
Texas,McMullen,0,0,0,0,0
Texas,Terrell,0,0,0,0,0
Utah,Garfield,0,0,0,0,0
Utah,Wayne,0,0,0,0,0
Virginia,Accomack,0,0,0,0,0
Virginia,Amelia,0,0,0,0,0
Virginia,Bath,0,0,0,0,0
Virginia,Bland,0,0,0,0,0
Virginia,Brunswick,0,0,0,0,0
Virginia,Buckingham,0,0,0,0,0
Virginia,Charlotte,0,0,0,0,0
Virginia,Craig,0,0,0,0,0
Virginia,Cumberland,0,0,0,0,0
Virginia,Grayson,0,0,0,0,0
Virginia,Highland,0,0,0,0,0
Virginia,King and Queen,0,0,0,0,0
Virginia,Lunenburg,0,0,0,0,0
Virginia,Mathews,0,0,0,0,0
Virginia,Northampton,0,0,0,0,0
Virginia,Rappahannock,0,0,0,0,0
Virginia,Surry,0,0,0,0,0
Virginia,Sussex,0,0,0,0,0